run_accession	PC1	PC2	sample_name	color
SRR18681855	-114.948551583982	19.0909729133107	red_19	red
SRR18681856	-116.056843653325	19.4363317220669	red_18	red
SRR18681857	-113.947596846946	22.1168182498152	red_17	red
SRR18681858	-26.7009422354583	93.9212541362252	red_16	red
SRR18681859	248.060507501915	63.7796568158082	red_15	red
SRR18681860	-112.829152853552	29.2322670269225	black_9	black
SRR18681861	60.3734941192897	-167.52828958097	black_8	black
SRR18681862	44.5367701300295	-163.75331686066	black_7	black
SRR18681863	-116.451236464059	17.5435353685466	black_6	black
SRR18681864	247.963551886087	66.1607702089339	black_5	black
