Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
SRR18681855_1 - polya	(1, 0.0017100773637562323)	(2, 0.016285253550224792)	(3, 0.030339502808658367)	(4, 0.04474223421894983)	(5, 0.058742594484828055)	(6, 0.07219687962614547)	(7, 0.08467038510295564)	(8, 0.09689600121401122)	(9, 0.10904617273548933)	(10, 0.12675229938942334)	(12, 0.14912341649889826)	(14, 0.16965691896223595)	(16, 0.18988864306726375)	(18, 0.20991738530033305)	(20, 0.2299353497348913)	(22, 0.24964255431238042)	(24, 0.26885757275786404)	(26, 0.2884785549472646)	(28, 0.3085737602711522)	(30, 0.328237853654597)	(32, 0.34846418886036923)	(34, 0.3686258572750751)	(36, 0.3883510248500826)	(38, 0.4079091365481686)	(40, 0.4279522491792527)	(42, 0.44762891666096044)	(44, 0.46753730681065614)	(46, 0.4877636420164284)	(48, 0.5074510872966471)	(50, 0.5272966069550283)	(52, 0.5475929978511225)	(54, 0.5675480917943663)	(56, 0.5875912044254503)	(58, 0.6077349098426377)	(60, 0.6274241514226083)	(62, 0.6470756707077903)	(64, 0.6671780612306852)	(66, 0.6871403403729363)	(68, 0.7072319530973201)	(70, 0.7270648986574384)	(72, 0.7473756599515473)	(74, 0.7673630872903242)	(76, 0.7877474968742588)	(78, 0.8074978126457921)	(80, 0.8275499067756356)	(82, 0.8477924086791744)	(84, 0.8678211509122435)	(86, 0.8875894296812954)	(88, 0.9077097832017089)	(90, 0.9278858220144295)	(92, 0.9477061934762848)	(94, 0.9681786217480598)	(96, 0.9884498644476281)	(98, 1.0085306993735008)	(100, 1.0287067381862216)	(102, 1.0488432584044016)	(104, 1.0691504270990069)	(106, 1.089597707174256)	(108, 1.1095563937170034)	(110, 1.1297450066279868)	(112, 1.1500755272193661)	(114, 1.169944398774521)	(116, 1.190023437400642)	(118, 1.2096569936883057)	(120, 1.229709087818149)	(122, 1.2498078857415402)	(124, 1.2699300355617056)	(126, 1.290014463087082)	(128, 1.3102749279881394)	(130, 1.3304761149973858)	(132, 1.3503108568572557)	(134, 1.3703952843826324)	(136, 1.3902964893333205)	(138, 1.4102012868835125)
SRR18681855_2 - polya	(1, 0.0020621521151178096)	(2, 0.01540147407231716)	(3, 0.028205498703466766)	(4, 0.041056227128164334)	(5, 0.05352254740596712)	(6, 0.06604275667632525)	(7, 0.07784803864544916)	(8, 0.0890569490969606)	(9, 0.10011137776981338)	(10, 0.11613796415577253)	(12, 0.13622418798090088)	(14, 0.15565835499610958)	(16, 0.17412790904457762)	(18, 0.19167057242109375)	(20, 0.2100395336834585)	(22, 0.22809953138850592)	(24, 0.24583978773772502)	(26, 0.2638423038507134)	(28, 0.28167057888777286)	(30, 0.29991200286775666)	(32, 0.3183977236139913)	(34, 0.33693014815377387)	(36, 0.3552811464186202)	(38, 0.37363573728297017)	(40, 0.39232803250066695)	(42, 0.41093949422953074)	(44, 0.4293012702928881)	(46, 0.4483905477557426)	(48, 0.46754628830941536)	(50, 0.48615595373852727)	(52, 0.5048428600569685)	(54, 0.5232136176190851)	(56, 0.5418502275444748)	(58, 0.5600700959274364)	(60, 0.5786582057595262)	(62, 0.5973918158715155)	(64, 0.6162565558653894)	(66, 0.6351500366552927)	(68, 0.6541333324327885)	(70, 0.6729028685398145)	(72, 0.6919831645039098)	(74, 0.7110724419667642)	(76, 0.730343145704555)	(78, 0.7495509789510313)	(80, 0.7681229220853546)	(82, 0.7871601068554055)	(84, 0.8062996807113116)	(86, 0.8258021071170905)	(88, 0.844948866172004)	(90, 0.8641566994184803)	(92, 0.8833357918689271)	(94, 0.9023101061476635)	(96, 0.9214820133991029)	(98, 0.9408928285175375)	(100, 0.9606826628836115)	(102, 0.9800557557072574)	(104, 0.9995114783194883)	(106, 1.0188486451480974)	(108, 1.038281015863554)	(110, 1.0580205538365766)	(112, 1.0774744801490554)	(114, 1.0967900913806425)	(116, 1.1159979246271186)	(118, 1.1351446836820323)	(120, 1.1542627019409162)	(122, 1.1736591466613362)	(124, 1.1931777397648817)	(126, 1.2124053323086281)	(128, 1.23168681384493)	(130, 1.2510006287767652)	(132, 1.2703557586028928)	(134, 1.2902210375585441)	(136, 1.3093480373161874)	(138, 1.328954649107573)
SRR18681856_1 - polya	(1, 0.0018969001023787164)	(2, 0.015854204832949383)	(3, 0.028730132800610975)	(4, 0.042364102286458)	(5, 0.05582203369462215)	(6, 0.06838899687288115)	(7, 0.08068292140004017)	(8, 0.09281158569100711)	(9, 0.10466721133087409)	(10, 0.12184888697410555)	(12, 0.14340456995568188)	(14, 0.16389145032275504)	(16, 0.18330593546149476)	(18, 0.20297369987526803)	(20, 0.22196425658203678)	(22, 0.2408847573191154)	(24, 0.2599812961338769)	(26, 0.27882275936668977)	(28, 0.2983216709304406)	(30, 0.3180235651756014)	(32, 0.33745601338349246)	(34, 0.35690822096744995)	(36, 0.3762400759880936)	(38, 0.3955467827119255)	(40, 0.41506365734482775)	(42, 0.4351445723490812)	(44, 0.45489317057403533)	(46, 0.47426813696064224)	(48, 0.493765252217478)	(50, 0.5135012762940263)	(52, 0.5332678375881317)	(54, 0.5530523619513885)	(56, 0.5725710328912059)	(58, 0.5922405936118943)	(60, 0.6119712287676972)	(62, 0.6315491778357138)	(64, 0.651312146515989)	(66, 0.6711559490074452)	(68, 0.69098178842975)	(70, 0.7109207951877081)	(72, 0.7306855601748985)	(74, 0.7505239737456092)	(76, 0.7701917381593826)	(78, 0.7895792786943953)	(80, 0.8093799698198882)	(82, 0.8296225524465035)	(84, 0.8492759464049557)	(86, 0.8693820097060211)	(88, 0.8888791249628569)	(90, 0.9085253336936485)	(92, 0.9284373958478797)	(94, 0.9489188872942075)	(96, 0.968836338369184)	(98, 0.9886262516531862)	(100, 1.00843772062017)	(102, 1.028089318271707)	(104, 1.048330104591407)	(106, 1.068234981517978)	(108, 1.0881919513450873)	(110, 1.1083231629429644)	(112, 1.1285100600552105)	(114, 1.1487203091573535)	(116, 1.168486870451459)	(118, 1.1880720047471363)	(120, 1.2082732723147034)	(122, 1.2283380205567207)	(124, 1.2483075645322361)	(126, 1.2682357934487034)	(128, 1.2881191146922923)	(130, 1.307955731956088)	(132, 1.3278839608725554)	(134, 1.3479109866693548)	(136, 1.367602103073025)	(138, 1.3870040140633586)
SRR18681856_2 - polya	(1, 0.0020873086353826406)	(2, 0.014977607058365282)	(3, 0.027307457723826936)	(4, 0.03952234474672019)	(5, 0.05122708060571613)	(6, 0.06322641079879361)	(7, 0.07513233303228427)	(8, 0.0858850262262606)	(9, 0.09650120009468693)	(10, 0.11262485096490601)	(12, 0.132425542090399)	(14, 0.15121311611575788)	(16, 0.16922648186069517)	(18, 0.18714284703221534)	(20, 0.20531428778568422)	(22, 0.22307796686941822)	(24, 0.2410787584659496)	(26, 0.25909751313163226)	(28, 0.27741086213139643)	(30, 0.29559308072635615)	(32, 0.3137860771628065)	(34, 0.3319072213226517)	(36, 0.35063372091289613)	(38, 0.3692129233360998)	(40, 0.3880831274795547)	(42, 0.40690303502938596)	(44, 0.42500441981316467)	(46, 0.4433716580203828)	(48, 0.46197061981965293)	(50, 0.48049054411465725)	(52, 0.49904100562721887)	(54, 0.5178806725531165)	(56, 0.536607172143361)	(58, 0.5558833416496356)	(60, 0.5750481401271721)	(62, 0.5945254960079414)	(64, 0.613568145615249)	(66, 0.6326054063018112)	(68, 0.6522120962804699)	(70, 0.6710912819585005)	(72, 0.6898914301322654)	(74, 0.7087903751863623)	(76, 0.7281437858899876)	(78, 0.7473786403372142)	(80, 0.7667374399615849)	(82, 0.7859273867359332)	(84, 0.8048281280969454)	(86, 0.8244851146692278)	(88, 0.843878044124986)	(90, 0.8628470451487732)	(92, 0.8820621402199333)	(94, 0.9013293281916324)	(96, 0.9206486090638701)	(98, 0.9401582984691118)	(100, 0.9598763594765087)	(102, 0.979298029842909)	(104, 0.998825682317302)	(106, 1.0181772967140121)	(108, 1.037678004584678)	(110, 1.0570547672782)	(112, 1.0765500862281208)	(114, 1.0959897196636725)	(116, 1.115565872424774)	(118, 1.135846177496607)	(120, 1.1553361075257822)	(122, 1.1750577611470094)	(124, 1.1941147812096382)	(126, 1.2131484492823699)	(128, 1.2327299909642169)	(130, 1.252489367030662)	(132, 1.2723493362843543)	(134, 1.2916596356220165)	(136, 1.3105998957351614)	(138, 1.3300179734877315)
SRR18681857_1 - polya	(1, 0.0019511199428471943)	(2, 0.016870397894105504)	(3, 0.031125008612086193)	(4, 0.045515411560521454)	(5, 0.06001301890142084)	(6, 0.07347789059491577)	(7, 0.08651037123880535)	(8, 0.09841720576182157)	(9, 0.11095654620037616)	(10, 0.1290186995907079)	(12, 0.1512689712466384)	(14, 0.17306362423459637)	(16, 0.1935450234148687)	(18, 0.21315270679655837)	(20, 0.23356442312172904)	(22, 0.2538278400373243)	(24, 0.2742699309403598)	(26, 0.29485853451309624)	(28, 0.31570978884736983)	(30, 0.3362769515416134)	(32, 0.3571996754708631)	(34, 0.37830107338755303)	(36, 0.39875567146970936)	(38, 0.41903874252392304)	(40, 0.4397488444081188)	(42, 0.4609431527982777)	(44, 0.48154069007038613)	(46, 0.5023383422084277)	(48, 0.5230555910521211)	(50, 0.543179642257513)	(52, 0.5638325684657279)	(54, 0.5847874537127168)	(56, 0.6052188241765059)	(58, 0.625357169300893)	(60, 0.6454258315701784)	(62, 0.6662949533031961)	(64, 0.686619119374521)	(66, 0.7068039197356426)	(68, 0.7272567310779244)	(70, 0.7477667180961871)	(72, 0.7689503060470997)	(74, 0.7899802343688134)	(76, 0.8105974257795403)	(78, 0.8310502371218222)	(80, 0.8518014340231292)	(82, 0.8725168961269483)	(84, 0.8935128763910485)	(86, 0.9141139871429058)	(88, 0.9349223597201937)	(90, 0.9558379366899458)	(92, 0.9762782408531068)	(94, 0.9967560665536304)	(96, 1.0173929121029757)	(98, 1.0379618615370938)	(100, 1.0585200905319654)	(102, 1.0793784918257365)	(104, 1.1001636367846572)	(106, 1.121077427014535)	(108, 1.1419751365855428)	(110, 1.162708466088106)	(112, 1.1838187977041679)	(114, 1.20468970617706)	(116, 1.2254659174366087)	(118, 1.245908008339644)	(120, 1.2666788593795695)	(122, 1.287546194372713)	(124, 1.308658312728649)	(126, 1.3295721029585268)	(128, 1.3499695253647022)	(130, 1.3709923067269183)	(132, 1.391443331329326)	(134, 1.4118782752728638)	(136, 1.4324204236088658)	(138, 1.452696347703582)
SRR18681857_2 - polya	(1, 0.0020761917340553476)	(2, 0.01582694180745462)	(3, 0.02893803900581791)	(4, 0.042102738400413266)	(5, 0.055417523944458404)	(6, 0.06798545222100343)	(7, 0.08023534079990485)	(8, 0.09169549035432052)	(9, 0.10348440004562619)	(10, 0.12044413493345181)	(12, 0.14145262237667278)	(14, 0.1618339641239786)	(16, 0.1815774397361228)	(18, 0.2003042603597322)	(20, 0.21902036054409518)	(22, 0.23777576900569497)	(24, 0.2570529055106202)	(26, 0.27629609395793187)	(28, 0.2959216447383656)	(30, 0.31545071156558147)	(32, 0.3349565507744302)	(34, 0.35526999640650875)	(36, 0.37475975495648783)	(38, 0.39411014779626363)	(40, 0.41379644773242696)	(42, 0.43399732875241814)	(44, 0.45416247497492135)	(46, 0.473943472124428)	(48, 0.493472538951644)	(50, 0.5134536509670837)	(52, 0.5333150514109384)	(54, 0.5534909180726879)	(56, 0.573019984899904)	(58, 0.5922113578908579)	(60, 0.6116635949034746)	(62, 0.6319663200963067)	(64, 0.6518884696958911)	(66, 0.671776671237862)	(68, 0.6920240074945876)	(70, 0.7116906532921325)	(72, 0.7318182779772733)	(74, 0.7521978329847047)	(76, 0.7723808466059519)	(78, 0.792617462423431)	(80, 0.8123877391336913)	(82, 0.8326172079916729)	(84, 0.8528520370692778)	(86, 0.8731386816032403)	(88, 0.8934074587384587)	(90, 0.9137888004857646)	(92, 0.9338592494949244)	(94, 0.9539100443654658)	(96, 0.9738339807049246)	(98, 0.994351114682685)	(100, 1.0146288255172755)	(102, 1.0347850380404067)	(104, 1.0549358903439146)	(106, 1.0753744077672014)	(108, 1.0956628390410383)	(110, 1.115897668118643)	(112, 1.1361342839361221)	(114, 1.1563012168984996)	(116, 1.1763627322082875)	(118, 1.1964260342579496)	(120, 1.2170575195876718)	(122, 1.2373227232431416)	(124, 1.2578827389778877)	(126, 1.2780657525991348)	(128, 1.2989706091296405)	(130, 1.3198236502037883)	(132, 1.3404176139961481)	(134, 1.3605631060800327)	(136, 1.380390558466274)	(138, 1.4005217566311634)
SRR18681858_1 - polya	(1, 0.001742093284266161)	(2, 0.016369237923617972)	(3, 0.030384682456995427)	(4, 0.04494386041790564)	(5, 0.05903084882332688)	(6, 0.07271361435170073)	(7, 0.08557720254517324)	(8, 0.09822615912251441)	(9, 0.11097527712071686)	(10, 0.12897213813333094)	(12, 0.1517302438304589)	(14, 0.17322202299241188)	(16, 0.19328113611668807)	(18, 0.21270708597337673)	(20, 0.23248181220627887)	(22, 0.25257490866977583)	(24, 0.272274513837032)	(26, 0.29237118749413116)	(28, 0.3127719226074164)	(30, 0.3334588332088768)	(32, 0.3536789200452515)	(34, 0.3742603034354473)	(36, 0.3945358367726559)	(38, 0.41537656669901046)	(40, 0.4358542114747428)	(42, 0.456557219447413)	(44, 0.4769758405287092)	(46, 0.49730145457634845)	(48, 0.5174517861374804)	(50, 0.5372658615000068)	(52, 0.557838301906197)	(54, 0.5781710703410408)	(56, 0.5984555466622548)	(58, 0.6184967738185201)	(60, 0.6384932860547579)	(62, 0.658929793104065)	(64, 0.678908419372292)	(66, 0.6986384306851667)	(68, 0.7193807877874611)	(70, 0.7397994088687573)	(72, 0.7602377045148654)	(74, 0.7812179449917054)	(76, 0.8020336345628446)	(78, 0.8225506284682009)	(80, 0.8426812854645209)	(82, 0.8630247854801711)	(84, 0.8838029145184874)	(86, 0.9040426759196741)	(88, 0.9242359338040325)	(90, 0.9442968355251097)	(92, 0.9645938320239315)	(94, 0.9856080558399921)	(96, 1.0059909049852664)	(98, 1.0265633453914567)	(100, 1.0471840779112767)	(102, 1.0677439981398593)	(104, 1.0885185499845733)	(106, 1.109094567584366)	(108, 1.129888793993892)	(110, 1.1500498571358304)	(112, 1.1706062001708109)	(114, 1.19086563613681)	(116, 1.2113110861701224)	(118, 1.2316742607505846)	(120, 1.2522967818672055)	(122, 1.272661745044469)	(124, 1.2928389055576175)	(126, 1.3134632152710395)	(128, 1.3337029766722261)	(130, 1.3539481038638161)	(132, 1.373885592405618)	(134, 1.3945742916038795)	(136, 1.4149857582979712)	(138, 1.4351164152942912)
SRR18681858_2 - polya	(1, 0.0022107056461529518)	(2, 0.016308425632380757)	(3, 0.029204208568272976)	(4, 0.04137739839652297)	(5, 0.05425529536440424)	(6, 0.06668962032561404)	(7, 0.07912036809322166)	(8, 0.09058527358823819)	(9, 0.10239358966906488)	(10, 0.11949257508752945)	(12, 0.14039054011151902)	(14, 0.16091826559768196)	(16, 0.18063575673294907)	(18, 0.1991566766082839)	(20, 0.21820880973354378)	(22, 0.23746842008773067)	(24, 0.2563255961616713)	(26, 0.27567821354951505)	(28, 0.2952114792142694)	(30, 0.31452474747248915)	(32, 0.3342869535277836)	(34, 0.3537039604004668)	(36, 0.3730762523531227)	(38, 0.39270073645473286)	(40, 0.41223221352268613)	(42, 0.4320534432724167)	(44, 0.4516171150827897)	(46, 0.47121298163558234)	(48, 0.49045291742495717)	(50, 0.5099432567664852)	(52, 0.529861070743475)	(54, 0.5490026337087897)	(56, 0.5683624054838378)	(58, 0.5879618492302326)	(60, 0.6074825947173793)	(62, 0.6269943972205205)	(64, 0.6470821278936143)	(66, 0.6671036804850674)	(68, 0.6868032856523236)	(70, 0.7062077723473992)	(72, 0.7260844485979636)	(74, 0.746107789786218)	(76, 0.7661257651840689)	(78, 0.785862930884148)	(80, 0.8050420543822858)	(82, 0.8249473481816678)	(84, 0.8455466175398745)	(86, 0.8655949990833441)	(88, 0.8856719981756312)	(90, 0.9055594060070024)	(92, 0.925174947124607)	(94, 0.9452179628776733)	(96, 0.9655811374581357)	(98, 0.9855454549519538)	(100, 1.005756598804323)	(102, 1.026169854095216)	(104, 1.0460536847329847)	(106, 1.066134261018874)	(108, 1.0863543478552489)	(110, 1.10661736101485)	(112, 1.1268606996096389)	(114, 1.1468554232490755)	(116, 1.166844781098109)	(118, 1.1870004784496442)	(120, 1.2070917863163402)	(122, 1.2271580538278206)	(124, 1.2474157011970184)	(126, 1.2674587169500846)	(128, 1.2870992984229046)	(130, 1.307498244939389)	(132, 1.3276646738717308)	(134, 1.347686226463184)	(136, 1.367759648361869)	(138, 1.3881568062815521)
SRR18681859_1 - polya	(1, 0.0019500351702771781)	(2, 0.015911001251986866)	(3, 0.029404101752549466)	(4, 0.04325792304468348)	(5, 0.05666530771358555)	(6, 0.0706369882742528)	(7, 0.08332650285299789)	(8, 0.0956588681331574)	(9, 0.10789123160971296)	(10, 0.12560047958007814)	(12, 0.14787409558636683)	(14, 0.16932091096642993)	(16, 0.18910698210807017)	(18, 0.208828766375965)	(20, 0.22845590607973465)	(22, 0.24797054375444988)	(24, 0.26766732757144374)	(26, 0.28713375009084985)	(28, 0.3066769597094519)	(30, 0.3265469609362598)	(32, 0.3462669594576616)	(34, 0.36551194941194476)	(36, 0.38519444725699514)	(38, 0.4042715770409431)	(40, 0.4234754948258888)	(42, 0.4428097721048183)	(44, 0.4624011968787294)	(46, 0.4816015431706893)	(48, 0.5014215434956952)	(50, 0.521291544722503)	(52, 0.5411561887098321)	(54, 0.561247622501763)	(56, 0.5808747622055326)	(58, 0.600509044895274)	(60, 0.6204344042633626)	(62, 0.6403276201945785)	(64, 0.6599940463211926)	(66, 0.6795568991512169)	(68, 0.6993376130533783)	(70, 0.7197522669605292)	(72, 0.739918702105163)	(74, 0.760081565756811)	(76, 0.7801372846188833)	(78, 0.7997679958156388)	(80, 0.8199665743971454)	(82, 0.8404294434596052)	(84, 0.8609226702124448)	(86, 0.8811212487939515)	(88, 0.9018001931820556)	(90, 0.9221202025250812)	(92, 0.9424241401496705)	(94, 0.9621155667271856)	(96, 0.9820552120672177)	(98, 1.0022805768461183)	(100, 1.0226416583584812)	(102, 1.0430420262936884)	(104, 1.0633566783972355)	(106, 1.0836463300498813)	(108, 1.1039556249139493)	(110, 1.124375636060579)	(112, 1.1446813594316612)	(114, 1.1651299425221775)	(116, 1.185107088538561)	(118, 1.2051110207523386)	(120, 1.2255399606314328)	(122, 1.2457688969033192)	(124, 1.2657460429197027)	(126, 1.28592676403628)	(128, 1.305793193770102)	(130, 1.3254167619808856)	(132, 1.345326049630538)	(134, 1.3652424802661618)	(136, 1.3849874792384649)	(138, 1.4053074885814905)
SRR18681859_2 - polya	(1, 0.0022536120740749076)	(2, 0.0164395822138935)	(3, 0.029389815780606045)	(4, 0.04235076382627615)	(5, 0.05506170736293637)	(6, 0.0676262196871765)	(7, 0.08012287364468537)	(8, 0.09197665886474024)	(9, 0.10358043957578521)	(10, 0.1200718084379736)	(12, 0.14077039603749997)	(14, 0.16086897281540258)	(16, 0.17972824152721326)	(18, 0.19842679305466043)	(20, 0.21744499320434174)	(22, 0.23564710720675497)	(24, 0.2542653001420204)	(26, 0.2725977736384174)	(28, 0.29078381592239433)	(30, 0.30913950412319935)	(32, 0.32794341469372934)	(34, 0.34621695855585966)	(36, 0.3655530215812821)	(38, 0.3843605036447979)	(40, 0.40329477370931155)	(42, 0.42225761571771203)	(44, 0.44112938465497326)	(46, 0.4601172271142747)	(48, 0.4790014962769864)	(50, 0.49821612854088976)	(52, 0.5175718347777344)	(54, 0.5361007403883534)	(56, 0.555186798904766)	(58, 0.5745996490293843)	(60, 0.594076786027748)	(62, 0.6134592784619866)	(64, 0.6326614105004393)	(66, 0.6519903305398901)	(68, 0.6715674693418578)	(70, 0.6912838963702739)	(72, 0.7107199611993003)	(74, 0.7303810300864355)	(76, 0.749738522069773)	(78, 0.7692888746743468)	(80, 0.7893678082408272)	(82, 0.8090931640017078)	(84, 0.8291399541313156)	(86, 0.8489760261747579)	(88, 0.8685870941600911)	(90, 0.888008873017174)	(92, 0.9078556595395739)	(94, 0.9277649471892261)	(96, 0.9478260232907773)	(98, 0.9679335288011445)	(100, 0.9878071015209382)	(102, 1.0076235303529582)	(104, 1.027539960988582)	(106, 1.0474028192294182)	(108, 1.067651398712727)	(110, 1.0878464058012476)	(112, 1.1076789063517039)	(114, 1.127420333831021)	(116, 1.1474706954536145)	(118, 1.1672031942004668)	(120, 1.1870767669202604)	(122, 1.2069110532172098)	(124, 1.2268292695993268)	(126, 1.2471546361818313)	(128, 1.2670799955499197)	(130, 1.2871214284400487)	(132, 1.3067985690456203)	(134, 1.3266828562443715)	(136, 1.3466975029371064)	(138, 1.3664746453462822)
