Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR18681855_1	(1, 7.185199007379128e-05)	(2, 0.00021555597022137381)	(3, 0.0001185557836217556)	(4, 8.262978858485997e-05)	(5, 9.700018659961822e-05)	(6, 5.748159205903302e-05)	(7, 0.00010777798511068691)	(8, 0.00013651878114020343)	(9, 5.3888992555343454e-05)	(10, 0.00010346686570625943)	(15, 7.113347017305336e-05)	(20, 0.00011711874382027977)	(25, 0.00013364470153725178)	(30, 0.0001681336567726716)	(35, 0.00011424466421732812)	(40, 0.00010202982590478362)	(45, 0.00015017065925422376)	(50, 0.00018681517419185732)	(55, 0.00017244477617709908)	(60, 0.0001587928980630787)	(65, 0.00013148914183503803)	(70, 0.00010777798511068691)	(75, 0.00013220766173577595)	(80, 0.00018250405478742986)	(85, 0.0001013113060040457)	(90, 0.00014082990054463092)	(95, 0.0001458595398497963)	(100, 0.00012286690302618309)	(105, 0.00015376325875791333)	(110, 7.32890298752671e-05)	(115, 0.0001393928607431551)	(120, 0.00014370398014758255)	(125, 0.0001860966542911194)	(130, 0.00018250405478742986)	(135, 0.0003535117911630531)	(140, 0.00018394109458890568)	(145, 0.00020621521151178095)	(150, 0.0002263337687324425)
SRR18681855_2	(1, 0.00019759297270292603)	(2, 0.0001688521766734095)	(3, 4.670379354796433e-05)	(4, 2.1555597022137385e-05)	(5, 0.00012214838312544517)	(6, 4.670379354796433e-05)	(7, 2.874079602951651e-05)	(8, 5.3888992555343454e-05)	(9, 2.874079602951651e-05)	(10, 3.37704353346819e-05)	(15, 0.046925816197292344)	(20, 6.969643037157755e-05)	(25, 2.80222761287786e-05)	(30, 7.688162937895666e-05)	(35, 5.748159205903302e-05)	(40, 7.041495027231546e-05)	(45, 0.00013077062193430012)	(50, 6.322975126493633e-05)	(55, 8.622238808854954e-05)	(60, 9.340758709592866e-05)	(65, 8.837794779076327e-05)	(70, 7.257050997452919e-05)	(75, 9.484462689740449e-05)	(80, 0.0001904077736955469)	(85, 0.00022992636823613208)	(90, 0.00026944496277671727)	(95, 0.00022130412942727713)	(100, 0.00048356389319661525)	(105, 0.0005554158832704065)	(110, 0.0004332675001449614)	(115, 0.0003226154354313228)	(120, 0.00034632659215567393)	(125, 0.00025651160456343486)	(130, 0.0006509790300685489)	(135, 0.0006186456345353429)	(140, 0.0007767200126976837)	(145, 0.0006366086320537907)	(150, 0.0007939644903153936)
SRR18681856_1	(1, 7.544489043551713e-05)	(2, 0.0002981869479118058)	(3, 0.00014729716704077152)	(4, 0.00010059318724735617)	(5, 5.029659362367809e-05)	(6, 6.825966277499169e-05)	(7, 9.340795958683073e-05)	(8, 0.00013292671171972066)	(9, 7.903750426577984e-05)	(10, 7.472636766946459e-05)	(15, 7.760045873367476e-05)	(20, 0.0001235859157610376)	(25, 0.000138674893848141)	(30, 0.00019759376066444962)	(35, 0.00011496364256840704)	(40, 8.909682299051546e-05)	(45, 0.00014442307597656136)	(50, 0.00019184557853602925)	(55, 0.00019615671513234455)	(60, 0.00015591944023340206)	(65, 0.0001257414840591952)	(70, 0.00010346727831156634)	(75, 0.0001207118246968274)	(80, 0.00016597875895813766)	(85, 0.00011208955150419686)	(90, 0.00015520091746734952)	(95, 0.00014370455321050882)	(100, 0.00013077114342156302)	(105, 0.0001516083036370868)	(110, 6.323000341262388e-05)	(115, 0.00011424511980235451)	(120, 0.00013651932554998339)	(125, 0.00016885285002234785)	(130, 0.00018394182810945128)	(135, 0.00036932070175100764)	(140, 0.00019471966960023945)	(145, 0.00020549751109102761)	(150, 0.00019759376066444962)
SRR18681856_2	(1, 0.00020477898832497505)	(2, 0.00017244546385261056)	(3, 0.00011496364256840704)	(4, 2.874091064210176e-05)	(5, 0.00011496364256840704)	(6, 2.5148296811839044e-05)	(7, 3.951875213288992e-05)	(8, 5.3889207453940804e-05)	(9, 2.155568298157632e-05)	(10, 3.951875213288992e-05)	(15, 0.04692097366876324)	(20, 7.831898149972731e-05)	(25, 2.4429774045786498e-05)	(30, 6.538557171078151e-05)	(35, 4.9578070857625545e-05)	(40, 8.550420916025274e-05)	(45, 0.00011137102873814433)	(50, 6.825966277499169e-05)	(55, 8.909682299051546e-05)	(60, 8.694125469235783e-05)	(65, 9.412648235288328e-05)	(70, 7.185227660525441e-05)	(75, 7.831898149972731e-05)	(80, 0.0002019048972607649)	(85, 0.0002507644453523379)	(90, 0.00029243876578338544)	(95, 0.00020621603385708012)	(100, 0.0005439217339017759)	(105, 0.0005511069615623013)	(110, 0.00043614331899389424)	(115, 0.00029459433408154305)	(120, 0.0003520761553657466)	(125, 0.00021771239811392085)	(130, 0.0006524186715757101)	(135, 0.0006078702600804523)	(140, 0.0008126492484054273)	(145, 0.000561166280287037)	(150, 0.0007149301522222813)
SRR18681857_1	(1, 0.00010005743296652279)	(2, 0.00016080658869619733)	(3, 8.219003422250086e-05)	(4, 0.0001250717912081535)	(5, 0.00011077787221293594)	(6, 3.2161317739239466e-05)	(7, 7.14695949760877e-05)	(8, 6.432263547847893e-05)	(9, 7.861655447369647e-05)	(10, 0.0001114925681626968)	(15, 5.4316892181826654e-05)	(20, 8.433412207178349e-05)	(25, 0.04547681797923436)	(30, 0.00035163040728235153)	(35, 8.147533827273998e-05)	(40, 6.432263547847893e-05)	(45, 8.004594637321823e-05)	(50, 0.0008969434169499007)	(55, 3.1446621789478585e-05)	(60, 0.00020082956188280645)	(65, 0.0006189266924929196)	(70, 0.0002994576029498075)	(75, 7.79018585239356e-05)	(80, 7.14695949760877e-05)	(85, 5.2172804332544024e-05)	(90, 5.2172804332544024e-05)	(95, 0.0003416246639856992)	(100, 0.00024942888646654605)	(105, 0.00021297939302874136)	(110, 4.9314020533500514e-05)	(115, 7.647246662441384e-05)	(120, 7.14695949760877e-05)	(125, 0.00010005743296652279)	(130, 0.00011077787221293594)	(135, 0.0001150660479115012)	(140, 0.0001243570952583926)	(145, 0.0001243570952583926)	(150, 0.001983281260586434)
SRR18681857_2	(1, 0.0003930827723684824)	(2, 0.00022155574442587187)	(3, 0.00010005743296652279)	(4, 5.360219623206577e-05)	(5, 1.7867398744021925e-05)	(6, 4.6455236734457004e-05)	(7, 3.2161317739239466e-05)	(8, 7.504307472489208e-05)	(9, 2.144087849282631e-05)	(10, 2.2870270392348065e-05)	(15, 3.4305405588522096e-05)	(20, 2.5729054191391572e-05)	(25, 0.00028516368395458997)	(30, 4.6455236734457004e-05)	(35, 4.288175698565262e-05)	(40, 3.5020101538282977e-05)	(45, 0.0003973709480670476)	(50, 3.859358128708736e-05)	(55, 2.930253394019596e-05)	(60, 4.35964529354135e-05)	(65, 3.7164189387565606e-05)	(70, 6.289324357895717e-05)	(75, 5.860506788039192e-05)	(80, 6.289324357895717e-05)	(85, 7.933125042345735e-05)	(90, 9.291047346891401e-05)	(95, 8.647820992106612e-05)	(100, 0.00010077212891628366)	(105, 0.00012292770335887084)	(110, 0.0005274456109235272)	(115, 0.00020154425783256732)	(120, 0.00021655287277754575)	(125, 0.00025943462976319836)	(130, 0.00032089848144263377)	(135, 0.0010062918972633147)	(140, 0.0004488290564498308)	(145, 0.0005496011853661144)	(150, 0.0006074915572967455)
SRR18681858_1	(1, 8.942984005473106e-05)	(2, 0.00017885968010946212)	(3, 8.942984005473106e-05)	(4, 8.942984005473106e-05)	(5, 0.0001359333568831912)	(6, 3.934912962408166e-05)	(7, 6.0812291237217116e-05)	(8, 3.934912962408166e-05)	(9, 4.6503516828460154e-05)	(10, 0.00010516949190436374)	(15, 6.93975558824713e-05)	(20, 6.152772995765497e-05)	(25, 0.045572731053170515)	(30, 0.00032624005651965896)	(35, 8.585264645254182e-05)	(40, 6.582036228028206e-05)	(45, 7.369018820509839e-05)	(50, 0.0009408019173757707)	(55, 2.861754881751394e-05)	(60, 0.00019102213835690555)	(65, 0.0006210008093400525)	(70, 0.0002761593460890095)	(75, 8.513720773210397e-05)	(80, 7.798282052772548e-05)	(85, 5.580422019415218e-05)	(90, 5.222702659196294e-05)	(95, 0.00034269514708972946)	(100, 0.0002654277652824418)	(105, 0.00019531477067953262)	(110, 5.0080710430649396e-05)	(115, 7.583650436641194e-05)	(120, 7.22593107642227e-05)	(125, 9.944598214086093e-05)	(130, 9.729966597954739e-05)	(135, 0.00010087685958173663)	(140, 0.00011089300166786651)	(145, 0.00010230773702261234)	(150, 0.002096235450882896)
SRR18681858_2	(1, 0.0002611351329598147)	(2, 0.00016097371209851591)	(3, 6.0812291237217116e-05)	(4, 2.861754881751394e-05)	(5, 7.154387204378485e-06)	(6, 2.1463161613135456e-05)	(7, 2.861754881751394e-05)	(8, 5.723509763502788e-05)	(9, 1.430877440875697e-05)	(10, 2.4324916494886848e-05)	(15, 3.648737474233028e-05)	(20, 1.502421312919482e-05)	(25, 0.0002847446107342637)	(30, 2.7186671376638244e-05)	(35, 4.078000706495737e-05)	(40, 2.0032284172259756e-05)	(45, 0.00040064568344519517)	(50, 2.933298753795179e-05)	(55, 2.1463161613135456e-05)	(60, 3.505649730145458e-05)	(65, 3.434105858101673e-05)	(70, 6.0812291237217116e-05)	(75, 3.791825218320597e-05)	(80, 3.791825218320597e-05)	(85, 5.0080710430649396e-05)	(90, 7.0828433323347e-05)	(95, 6.009685251677928e-05)	(100, 7.369018820509839e-05)	(105, 9.014527877516891e-05)	(110, 0.0004950835945429912)	(115, 0.00016741266058245655)	(120, 0.00016884353802333225)	(125, 0.00022464775821748442)	(130, 0.0002468263585510577)	(135, 0.0010044759634947394)	(140, 0.0003512804117349836)	(145, 0.0004528727100371581)	(150, 0.0004650351682846015)
SRR18681859_1	(1, 7.857284568882403e-05)	(2, 0.00015714569137764806)	(3, 0.00011071628256152478)	(4, 8.571583166053531e-05)	(5, 0.0001321452404766586)	(6, 6.785836673125711e-05)	(7, 5.7143887773690205e-05)	(8, 5.000090180197893e-05)	(9, 5.357239478783457e-05)	(10, 0.0001114305811586959)	(15, 6.928696392559937e-05)	(20, 7.571565130013951e-05)	(25, 0.04518295776405967)	(30, 0.0003364346392676011)	(35, 9.07159218407332e-05)	(40, 7.00012625227705e-05)	(45, 8.357293586902193e-05)	(50, 0.0009428741482658884)	(55, 3.000054108118736e-05)	(60, 0.0002107180861654826)	(65, 0.0006950125350475071)	(70, 0.00030000541081187356)	(75, 8.28586372718508e-05)	(80, 8.000144288316629e-05)	(85, 6.642976953691486e-05)	(90, 4.428651302460991e-05)	(95, 0.00033500604207325883)	(100, 0.0002621475851618038)	(105, 0.00022428975951173404)	(110, 6.285827655105922e-05)	(115, 7.500135270296839e-05)	(120, 7.571565130013951e-05)	(125, 0.0001164306713388938)	(130, 0.0001114305811586959)	(135, 0.00010071610220112898)	(140, 0.00011857356713040718)	(145, 0.00013643103205968537)	(150, 0.0018536048596590761)
SRR18681859_2	(1, 0.000325005861712863)	(2, 0.0001892891282503488)	(3, 9.285881763224659e-05)	(4, 3.5714929858556375e-05)	(5, 1.4285971943422551e-05)	(6, 1.7857464929278187e-05)	(7, 2.1428957915133827e-05)	(8, 9.285881763224659e-05)	(9, 1.4285971943422551e-05)	(10, 1.7143166332107062e-05)	(15, 3.3572034067043e-05)	(20, 2.2143256512304956e-05)	(25, 0.00032072007012983627)	(30, 3.642922845572751e-05)	(35, 3.9286422844412015e-05)	(40, 2.642904809533172e-05)	(45, 0.00038786413826392226)	(50, 2.8571943886845103e-05)	(55, 2.642904809533172e-05)	(60, 2.9286242484016228e-05)	(65, 3.3572034067043e-05)	(70, 5.071520039915006e-05)	(75, 4.071502003875427e-05)	(80, 5.000090180197893e-05)	(85, 5.285809619066344e-05)	(90, 6.428687374540147e-05)	(95, 7.78585470916529e-05)	(100, 7.428705410579726e-05)	(105, 8.571583166053531e-05)	(110, 0.0005028662124084738)	(115, 0.00013357383767100085)	(120, 0.00016500297594653046)	(125, 0.00019000342684751993)	(130, 0.00023500423846930098)	(135, 0.0009543029258206263)	(140, 0.00036143509016859054)	(145, 0.0004642940881612329)	(150, 0.00041786467934510957)
