Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR18681855_1	(1, 36.125707607379745)	(2, 35.8377978327859)	(3, 36.01735559672036)	(4, 36.03856450789039)	(5, 36.02566247714478)	(6, 36.003002191701256)	(7, 36.01615997960553)	(8, 35.99883696776267)	(9, 36.000476522398166)	(10, 35.9839642596705)	(15, 35.98154994658164)	(20, 35.969964517331746)	(25, 35.96787875465269)	(30, 35.9557720751408)	(35, 35.945722367215545)	(40, 35.933802122062296)	(45, 35.922370678812335)	(50, 35.90651494927358)	(55, 35.88797249419598)	(60, 35.88370990362564)	(65, 35.859656020093844)	(70, 35.84041387033691)	(75, 35.81701587332609)	(80, 35.78486536984842)	(85, 35.75638436905941)	(90, 35.72143408093652)	(95, 35.68244120585172)	(100, 35.64381665125322)	(105, 35.603348079996266)	(110, 35.56193387906835)	(115, 35.51108456339749)	(120, 35.455121218259116)	(125, 35.40083377049282)	(130, 35.33994766588451)	(135, 35.26704686668201)	(140, 35.20597866757525)	(145, 35.14244500394791)	(150, 35.084209993476556)
SRR18681855_2	(1, 35.96433209731145)	(2, 35.63174216861808)	(3, 35.80498773522456)	(4, 35.83613611181147)	(5, 35.809768084050155)	(6, 35.79914699472944)	(7, 35.78507205209787)	(8, 35.78375284956011)	(9, 35.78830126016176)	(10, 35.76505599174105)	(15, 35.721841769128204)	(20, 35.71673442908097)	(25, 35.68964849216085)	(30, 35.6638894243858)	(35, 35.63299292495009)	(40, 35.60573777659334)	(45, 35.571053958760835)	(50, 35.544875095733794)	(55, 35.50805694327695)	(60, 35.4640609853825)	(65, 35.419301973723876)	(70, 35.37735483940038)	(75, 35.326596984127676)	(80, 35.276189816862924)	(85, 35.217691346699574)	(90, 35.158279479668)	(95, 35.09317842954398)	(100, 35.03254041548701)	(105, 34.95754003646776)	(110, 34.876976725487815)	(115, 34.79675253434543)	(120, 34.70706731863246)	(125, 34.60870769956584)	(130, 34.50385592267691)	(135, 34.39713316307765)	(140, 34.29012099084757)	(145, 34.16649255731939)	(150, 34.09809510315036)
SRR18681856_1	(1, 36.143483858942915)	(2, 35.86510730221394)	(3, 36.031044099442546)	(4, 36.04914447829445)	(5, 36.03717579309735)	(6, 36.01957683535773)	(7, 36.03311692984419)	(8, 36.011899491454734)	(9, 36.0132535835335)	(10, 36.00005272520057)	(15, 35.99962540534115)	(20, 35.990226279704316)	(25, 35.98966856233331)	(30, 35.978086629200256)	(35, 35.972474786766696)	(40, 35.96230388145639)	(45, 35.951923490833636)	(50, 35.93878520146319)	(55, 35.92067271550267)	(60, 35.918861104052624)	(65, 35.89469421593125)	(70, 35.87817253937477)	(75, 35.85608903675448)	(80, 35.826299664877396)	(85, 35.79709302933402)	(90, 35.76437360783969)	(95, 35.726756016649176)	(100, 35.689431424672215)	(105, 35.64885314605373)	(110, 35.61059365536494)	(115, 35.56066020314723)	(120, 35.50483012918285)	(125, 35.451114006678026)	(130, 35.3922298157704)	(135, 35.31983733937918)	(140, 35.26077379800393)	(145, 35.196571417732)	(150, 35.14014053658634)
SRR18681856_2	(1, 36.10008892797014)	(2, 35.81010337854075)	(3, 35.959784783749974)	(4, 35.991772375436625)	(5, 35.9662677631851)	(6, 35.961117571628726)	(7, 35.9488195515218)	(8, 35.94472738473844)	(9, 35.94617387884492)	(10, 35.92606228291855)	(15, 35.885598515273294)	(20, 35.881278986331075)	(25, 35.861007281976754)	(30, 35.83592571437419)	(35, 35.811653620149414)	(40, 35.78535817300067)	(45, 35.75378151885438)	(50, 35.72766129785258)	(55, 35.69450625756088)	(60, 35.65280370637036)	(65, 35.610891662682164)	(70, 35.570684271145055)	(75, 35.52235069608869)	(80, 35.47441879681423)	(85, 35.41841240454829)	(90, 35.36192314342789)	(95, 35.29897967252391)	(100, 35.24051193022626)	(105, 35.168684643842816)	(110, 35.091456566717866)	(115, 35.01202526886493)	(120, 34.925524784778176)	(125, 34.83050862753637)	(130, 34.72918083698346)	(135, 34.625295522126606)	(140, 34.52028290971686)	(145, 34.399448512221376)	(150, 34.3344494985735)
SRR18681857_1	(1, 35.69278330047161)	(2, 35.47136399150255)	(3, 35.69769826451812)	(4, 35.73064524751493)	(5, 35.72106703533542)	(6, 35.68704268392915)	(7, 35.69974122289051)	(8, 35.70239417425602)	(9, 35.70220892506585)	(10, 35.687006184407)	(15, 35.69473336981142)	(20, 35.66589633878417)	(25, 35.65737889262722)	(30, 35.65637170736002)	(35, 35.65798340390241)	(40, 35.641216186662575)	(45, 35.64042622608234)	(50, 35.58364444762723)	(55, 35.61084776947682)	(60, 35.580389607920665)	(65, 35.54784803620135)	(70, 35.54291934999261)	(75, 35.54560045323158)	(80, 35.50918235638686)	(85, 35.500249664736124)	(90, 35.4665805315108)	(95, 35.426340190698035)	(100, 35.383864516804074)	(105, 35.35223954978729)	(110, 35.31354481758243)	(115, 35.27265408916146)	(120, 35.24114842633957)	(125, 35.17723816327715)	(130, 35.10811868155179)	(135, 35.05255730360655)	(140, 35.020357020644134)	(145, 34.996662169799755)	(150, 34.891607639928175)
SRR18681857_2	(1, 35.72323299288077)	(2, 35.39891193973912)	(3, 35.612451082635715)	(4, 35.653494534434195)	(5, 35.647115622939)	(6, 35.59983384033864)	(7, 35.60842366375442)	(8, 35.60499862635439)	(9, 35.597755254373155)	(10, 35.58704372023827)	(15, 35.57772139779662)	(20, 35.55942250137293)	(25, 35.527663293015905)	(30, 35.51617579919444)	(35, 35.50332720267148)	(40, 35.4850449443695)	(45, 35.457161282004435)	(50, 35.43766189650002)	(55, 35.40514919849708)	(60, 35.37509245306806)	(65, 35.34303781799325)	(70, 35.298178561637236)	(75, 35.26923984367026)	(80, 35.23945564754169)	(85, 35.195560151526976)	(90, 35.14555759291547)	(95, 35.08348863676322)	(100, 35.03347011184419)	(105, 34.98476423324131)	(110, 34.90797728610509)	(115, 34.86210015263047)	(120, 34.79139536093718)	(125, 34.71472902588943)	(130, 34.638032802257065)	(135, 34.54326765706372)	(140, 34.47974295102531)	(145, 34.39101025417161)	(150, 34.335941258854014)
SRR18681858_1	(1, 35.796638403856214)	(2, 35.58365726908097)	(3, 35.79774279083702)	(4, 35.82518605431074)	(5, 35.81211591895868)	(6, 35.7808949959533)	(7, 35.79507574260303)	(8, 35.793011737666504)	(9, 35.78694556852785)	(10, 35.777102934640205)	(15, 35.78486081586843)	(20, 35.75641159547306)	(25, 35.748001770710836)	(30, 35.74700537920488)	(35, 35.751141130124886)	(40, 35.73497100595155)	(45, 35.734874886759464)	(50, 35.67922011455963)	(55, 35.70707888337901)	(60, 35.67890977870586)	(65, 35.64820282687724)	(70, 35.643816593706816)	(75, 35.64846811155478)	(80, 35.61415242243079)	(85, 35.6070733566149)	(90, 35.57645343075224)	(95, 35.53899752368773)	(100, 35.500205770907584)	(105, 35.47119759970309)	(110, 35.43676793403655)	(115, 35.399506984023354)	(120, 35.371030820205775)	(125, 35.31750059336699)	(130, 35.25698265508252)	(135, 35.20662600709179)	(140, 35.17625241393496)	(145, 35.15619675637971)	(150, 35.05212800987305)
SRR18681858_2	(1, 35.9808640174567)	(2, 35.67321427836826)	(3, 35.86692832645469)	(4, 35.905313903210086)	(5, 35.899266621653645)	(6, 35.862490173896326)	(7, 35.87283319993382)	(8, 35.86779046588475)	(9, 35.85674337660247)	(10, 35.8502080513685)	(15, 35.84125232539942)	(20, 35.82283701858799)	(25, 35.793129320020206)	(30, 35.78183214197882)	(35, 35.77017938373897)	(40, 35.75125409789884)	(45, 35.72267679250936)	(50, 35.705314518487384)	(55, 35.67310127482237)	(60, 35.64446970340593)	(65, 35.61330087864818)	(70, 35.57049708861156)	(75, 35.5420294098972)	(80, 35.51342801568599)	(85, 35.47141989366792)	(90, 35.422480307996366)	(95, 35.363245101256936)	(100, 35.315171661472284)	(105, 35.26557600418532)	(110, 35.19272593420647)	(115, 35.14714905360872)	(120, 35.07867401302993)	(125, 35.002979194147706)	(130, 34.92871514539057)	(135, 34.83702966298365)	(140, 34.773359823644356)	(145, 34.68561401186734)	(150, 34.63282407809014)
SRR18681859_1	(1, 35.8530998862658)	(2, 35.6446802701263)	(3, 35.851068063906155)	(4, 35.886766672041766)	(5, 35.88234605659852)	(6, 35.864914992216825)	(7, 35.873036067257644)	(8, 35.87110610387794)	(9, 35.86929242830987)	(10, 35.858894405059814)	(15, 35.865937210653264)	(20, 35.83943970418038)	(25, 35.82943794522008)	(30, 35.82797590456542)	(35, 35.831966126531924)	(40, 35.81817824928628)	(45, 35.81410854017189)	(50, 35.76107984090428)	(55, 35.786577743634304)	(60, 35.76078492844246)	(65, 35.72755917919234)	(70, 35.72658791881782)	(75, 35.728729328868255)	(80, 35.69635371637953)	(85, 35.68694121804697)	(90, 35.6576309179862)	(95, 35.62105282970282)	(100, 35.580825961325374)	(105, 35.552936379745425)	(110, 35.51840373549594)	(115, 35.48150201994715)	(120, 35.45315007288524)	(125, 35.39812905911339)	(130, 35.33800143181154)	(135, 35.288026723339115)	(140, 35.2580915262936)	(145, 35.23912498421846)	(150, 35.135784306109805)
SRR18681859_2	(1, 36.01235790145501)	(2, 35.708202058644275)	(3, 35.894431810288005)	(4, 35.9342097062822)	(5, 35.93520972431824)	(6, 35.90398201824711)	(7, 35.9136300493991)	(8, 35.906886820637304)	(9, 35.89681660329945)	(10, 35.88992705761301)	(15, 35.88308649138136)	(20, 35.86469215962645)	(25, 35.835073354001565)	(30, 35.82244782629115)	(35, 35.81356785899174)	(40, 35.7945107367115)	(45, 35.767300081662185)	(50, 35.749609048306056)	(55, 35.718545216619084)	(60, 35.69105838516016)	(65, 35.65928161204336)	(70, 35.61724458244693)	(75, 35.59011415027307)	(80, 35.56123114363313)	(85, 35.52007902285381)	(90, 35.47271792580544)	(95, 35.41376546969865)	(100, 35.36422040468945)	(105, 35.316772377501806)	(110, 35.24455598217039)	(115, 35.19811032306119)	(120, 35.130206126931924)	(125, 35.054297393578)	(130, 34.9796612903197)	(135, 34.886971118586246)	(140, 34.82341035079383)	(145, 34.73435693750905)	(150, 34.6818388688796)
