Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR18681855_1	(0.0, 576.0)	(1.0, 520.0)	(2.0, 644.0)	(3.0, 1016.5)	(4.0, 1592.5)	(5.0, 2545.0)	(6.0, 3843.0)	(7.0, 5767.0)	(8.0, 8647.5)	(9.0, 12252.0)	(10.0, 16806.0)	(11.0, 22519.5)	(12.0, 29573.0)	(13.0, 38284.5)	(14.0, 48983.0)	(15.0, 62540.5)	(16.0, 79159.0)	(17.0, 98702.0)	(18.0, 122413.5)	(19.0, 151954.5)	(20.0, 187818.5)	(21.0, 231657.0)	(22.0, 283495.0)	(23.0, 340620.0)	(24.0, 402847.5)	(25.0, 469234.5)	(26.0, 539277.0)	(27.0, 613359.0)	(28.0, 694635.5)	(29.0, 783226.5)	(30.0, 874094.5)	(31.0, 959236.0)	(32.0, 1027736.0)	(33.0, 1076694.5)	(34.0, 1113149.5)	(35.0, 1143458.0)	(36.0, 1166068.5)	(37.0, 1173795.5)	(38.0, 1162358.0)	(39.0, 1135564.0)	(40.0, 1097447.5)	(41.0, 1051087.0)	(42.0, 1000346.5)	(43.0, 945931.0)	(44.0, 887233.0)	(45.0, 825799.5)	(46.0, 761026.5)	(47.0, 693734.0)	(48.0, 627581.0)	(49.0, 562079.0)	(50.0, 498069.5)	(51.0, 436468.5)	(52.0, 379617.5)	(53.0, 329293.5)	(54.0, 283369.5)	(55.0, 241195.0)	(56.0, 203541.5)	(57.0, 170836.0)	(58.0, 141320.5)	(59.0, 116228.0)	(60.0, 97290.5)	(61.0, 81767.0)	(62.0, 67468.5)	(63.0, 53890.0)	(64.0, 41836.5)	(65.0, 32275.5)	(66.0, 24988.5)	(67.0, 20045.0)	(68.0, 15755.5)	(69.0, 12146.0)	(70.0, 9852.0)	(71.0, 7825.0)	(72.0, 6260.0)	(73.0, 5653.5)	(74.0, 4988.0)	(75.0, 3869.5)	(76.0, 2845.0)	(77.0, 2075.0)	(78.0, 1597.0)	(79.0, 1266.5)	(80.0, 924.5)	(81.0, 635.0)	(82.0, 403.5)	(83.0, 216.5)	(84.0, 180.5)	(85.0, 160.5)	(86.0, 75.5)	(87.0, 47.0)	(88.0, 30.5)	(89.0, 14.0)	(90.0, 12.0)	(91.0, 10.5)	(92.0, 6.5)	(93.0, 3.5)	(94.0, 1.0)	(95.0, 1.0)	(96.0, 1.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR18681855_2	(0.0, 472.0)	(1.0, 438.0)	(2.0, 461.0)	(3.0, 680.5)	(4.0, 1150.5)	(5.0, 1881.5)	(6.0, 2925.5)	(7.0, 4577.0)	(8.0, 7004.5)	(9.0, 10317.0)	(10.0, 14527.5)	(11.0, 19916.0)	(12.0, 26725.0)	(13.0, 35297.5)	(14.0, 45877.5)	(15.0, 58799.0)	(16.0, 74980.5)	(17.0, 94490.5)	(18.0, 118098.0)	(19.0, 147578.0)	(20.0, 183342.0)	(21.0, 226544.5)	(22.0, 277702.0)	(23.0, 334834.0)	(24.0, 396588.5)	(25.0, 462516.5)	(26.0, 532951.0)	(27.0, 608180.5)	(28.0, 690671.0)	(29.0, 778904.5)	(30.0, 869402.0)	(31.0, 955493.5)	(32.0, 1025784.5)	(33.0, 1076662.0)	(34.0, 1114502.5)	(35.0, 1146132.0)	(36.0, 1169901.0)	(37.0, 1177509.0)	(38.0, 1166282.0)	(39.0, 1141495.0)	(40.0, 1103744.0)	(41.0, 1057331.5)	(42.0, 1006908.0)	(43.0, 951760.0)	(44.0, 892860.0)	(45.0, 832287.0)	(46.0, 768284.0)	(47.0, 699412.5)	(48.0, 631542.0)	(49.0, 566392.0)	(50.0, 502216.0)	(51.0, 440886.5)	(52.0, 383711.0)	(53.0, 331878.0)	(54.0, 285424.5)	(55.0, 242884.5)	(56.0, 204847.0)	(57.0, 171649.5)	(58.0, 142301.5)	(59.0, 117104.5)	(60.0, 97825.5)	(61.0, 82118.0)	(62.0, 67743.5)	(63.0, 54360.0)	(64.0, 42328.0)	(65.0, 32489.5)	(66.0, 25101.5)	(67.0, 20081.5)	(68.0, 15838.5)	(69.0, 12309.5)	(70.0, 9921.0)	(71.0, 8051.0)	(72.0, 6460.0)	(73.0, 5598.5)	(74.0, 4869.5)	(75.0, 3916.5)	(76.0, 3000.5)	(77.0, 2187.0)	(78.0, 1640.0)	(79.0, 1289.5)	(80.0, 933.0)	(81.0, 681.5)	(82.0, 516.0)	(83.0, 316.0)	(84.0, 217.0)	(85.0, 193.0)	(86.0, 116.0)	(87.0, 62.0)	(88.0, 35.0)	(89.0, 11.5)	(90.0, 2.0)	(91.0, 0.5)	(92.0, 1.5)	(93.0, 1.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR18681856_1	(0.0, 426.0)	(1.0, 423.0)	(2.0, 539.5)	(3.0, 933.0)	(4.0, 1559.5)	(5.0, 2431.5)	(6.0, 3730.0)	(7.0, 5733.5)	(8.0, 8422.5)	(9.0, 11899.5)	(10.0, 16386.0)	(11.0, 22018.5)	(12.0, 28881.5)	(13.0, 37240.0)	(14.0, 47903.0)	(15.0, 61025.0)	(16.0, 77233.5)	(17.0, 96931.5)	(18.0, 120205.5)	(19.0, 149643.5)	(20.0, 186249.0)	(21.0, 229584.0)	(22.0, 280295.5)	(23.0, 338104.5)	(24.0, 399875.5)	(25.0, 464073.5)	(26.0, 534029.0)	(27.0, 610274.5)	(28.0, 690954.5)	(29.0, 777189.0)	(30.0, 866293.0)	(31.0, 950730.5)	(32.0, 1020421.5)	(33.0, 1071085.0)	(34.0, 1108602.0)	(35.0, 1138711.0)	(36.0, 1160370.5)	(37.0, 1166939.5)	(38.0, 1156601.0)	(39.0, 1132327.5)	(40.0, 1096599.5)	(41.0, 1052758.5)	(42.0, 1003416.0)	(43.0, 948711.5)	(44.0, 890273.0)	(45.0, 829949.0)	(46.0, 766440.0)	(47.0, 699638.5)	(48.0, 632202.5)	(49.0, 566612.5)	(50.0, 502895.5)	(51.0, 441465.0)	(52.0, 384617.5)	(53.0, 333429.0)	(54.0, 287646.5)	(55.0, 244969.5)	(56.0, 206613.5)	(57.0, 173504.5)	(58.0, 144026.5)	(59.0, 119769.0)	(60.0, 101155.5)	(61.0, 85516.5)	(62.0, 71163.5)	(63.0, 57776.0)	(64.0, 45428.5)	(65.0, 34921.5)	(66.0, 27093.0)	(67.0, 21988.0)	(68.0, 17427.5)	(69.0, 13651.0)	(70.0, 11336.5)	(71.0, 9210.5)	(72.0, 7455.0)	(73.0, 6545.0)	(74.0, 5528.5)	(75.0, 4412.5)	(76.0, 3434.0)	(77.0, 2474.0)	(78.0, 1905.0)	(79.0, 1500.5)	(80.0, 1141.0)	(81.0, 782.0)	(82.0, 502.5)	(83.0, 278.0)	(84.0, 226.5)	(85.0, 185.0)	(86.0, 89.0)	(87.0, 58.5)	(88.0, 33.0)	(89.0, 19.0)	(90.0, 16.5)	(91.0, 16.0)	(92.0, 11.0)	(93.0, 4.0)	(94.0, 1.0)	(95.0, 0.5)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR18681856_2	(0.0, 338.0)	(1.0, 329.5)	(2.0, 414.5)	(3.0, 678.0)	(4.0, 1136.5)	(5.0, 1751.0)	(6.0, 2812.5)	(7.0, 4500.0)	(8.0, 6904.0)	(9.0, 10153.5)	(10.0, 14211.0)	(11.0, 19331.0)	(12.0, 26020.5)	(13.0, 34584.0)	(14.0, 45068.5)	(15.0, 58057.0)	(16.0, 74114.5)	(17.0, 93544.5)	(18.0, 116938.0)	(19.0, 146277.5)	(20.0, 181927.0)	(21.0, 224931.5)	(22.0, 276538.5)	(23.0, 333508.5)	(24.0, 394459.0)	(25.0, 460425.0)	(26.0, 530921.5)	(27.0, 605994.0)	(28.0, 686856.5)	(29.0, 774917.0)	(30.0, 864658.0)	(31.0, 948501.5)	(32.0, 1017935.0)	(33.0, 1068679.5)	(34.0, 1108385.0)	(35.0, 1139623.5)	(36.0, 1162932.5)	(37.0, 1171776.5)	(38.0, 1161291.5)	(39.0, 1136836.0)	(40.0, 1101282.5)	(41.0, 1057841.5)	(42.0, 1008294.5)	(43.0, 953589.0)	(44.0, 895572.5)	(45.0, 836102.5)	(46.0, 772233.0)	(47.0, 704175.5)	(48.0, 636473.5)	(49.0, 570504.5)	(50.0, 506389.0)	(51.0, 445109.0)	(52.0, 387329.5)	(53.0, 335153.0)	(54.0, 288807.0)	(55.0, 245917.0)	(56.0, 207436.5)	(57.0, 173898.5)	(58.0, 144858.0)	(59.0, 120158.0)	(60.0, 100976.0)	(61.0, 85450.5)	(62.0, 71164.5)	(63.0, 57947.5)	(64.0, 45841.5)	(65.0, 35369.5)	(66.0, 27396.5)	(67.0, 22064.5)	(68.0, 17541.5)	(69.0, 13761.0)	(70.0, 11371.0)	(71.0, 9337.0)	(72.0, 7553.5)	(73.0, 6545.5)	(74.0, 5559.0)	(75.0, 4496.5)	(76.0, 3465.5)	(77.0, 2525.0)	(78.0, 2028.0)	(79.0, 1623.0)	(80.0, 1151.5)	(81.0, 806.0)	(82.0, 593.0)	(83.0, 360.0)	(84.0, 262.0)	(85.0, 223.5)	(86.0, 122.5)	(87.0, 68.0)	(88.0, 43.5)	(89.0, 16.5)	(90.0, 3.5)	(91.0, 1.0)	(92.0, 0.5)	(93.0, 0.5)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.5)	(98.0, 0.5)	(99.0, 0.0)	(100.0, 0.0)
SRR18681857_1	(0.0, 429.0)	(1.0, 448.0)	(2.0, 599.0)	(3.0, 977.0)	(4.0, 1575.5)	(5.0, 2387.5)	(6.0, 3610.5)	(7.0, 5518.5)	(8.0, 7997.5)	(9.0, 11357.0)	(10.0, 15658.5)	(11.0, 20893.5)	(12.0, 27602.5)	(13.0, 36217.0)	(14.0, 47054.5)	(15.0, 60224.0)	(16.0, 76545.0)	(17.0, 96369.5)	(18.0, 120145.5)	(19.0, 150162.0)	(20.0, 186691.0)	(21.0, 230187.5)	(22.0, 282065.0)	(23.0, 340613.5)	(24.0, 403014.5)	(25.0, 469836.0)	(26.0, 541253.0)	(27.0, 616141.0)	(28.0, 697105.5)	(29.0, 784502.0)	(30.0, 875599.0)	(31.0, 961595.0)	(32.0, 1031348.0)	(33.0, 1082799.0)	(34.0, 1120815.0)	(35.0, 1150400.5)	(36.0, 1172198.5)	(37.0, 1179525.0)	(38.0, 1168431.0)	(39.0, 1143326.5)	(40.0, 1106505.5)	(41.0, 1061133.5)	(42.0, 1010641.5)	(43.0, 954990.0)	(44.0, 895399.0)	(45.0, 833737.0)	(46.0, 769551.5)	(47.0, 702073.0)	(48.0, 634942.0)	(49.0, 570087.5)	(50.0, 506409.0)	(51.0, 444550.0)	(52.0, 386420.0)	(53.0, 334678.5)	(54.0, 287900.5)	(55.0, 245095.5)	(56.0, 207289.5)	(57.0, 173398.5)	(58.0, 143511.5)	(59.0, 118053.0)	(60.0, 98062.0)	(61.0, 81009.5)	(62.0, 65219.5)	(63.0, 51760.0)	(64.0, 40131.0)	(65.0, 30965.5)	(66.0, 23879.5)	(67.0, 18526.5)	(68.0, 14278.5)	(69.0, 10884.0)	(70.0, 8604.0)	(71.0, 6854.5)	(72.0, 5458.5)	(73.0, 4581.5)	(74.0, 3802.5)	(75.0, 2906.0)	(76.0, 2176.0)	(77.0, 1594.5)	(78.0, 1147.0)	(79.0, 882.0)	(80.0, 628.0)	(81.0, 409.5)	(82.0, 267.0)	(83.0, 154.0)	(84.0, 121.5)	(85.0, 97.0)	(86.0, 56.5)	(87.0, 39.5)	(88.0, 23.0)	(89.0, 12.5)	(90.0, 8.0)	(91.0, 6.5)	(92.0, 5.5)	(93.0, 2.5)	(94.0, 1.5)	(95.0, 1.0)	(96.0, 0.0)	(97.0, 1.0)	(98.0, 1.0)	(99.0, 0.0)	(100.0, 0.0)
SRR18681857_2	(0.0, 397.0)	(1.0, 369.0)	(2.0, 435.0)	(3.0, 717.5)	(4.0, 1173.0)	(5.0, 1834.0)	(6.0, 2893.0)	(7.0, 4556.5)	(8.0, 6786.5)	(9.0, 9862.5)	(10.0, 13812.0)	(11.0, 18982.0)	(12.0, 25589.0)	(13.0, 33819.5)	(14.0, 44533.5)	(15.0, 57602.5)	(16.0, 73888.0)	(17.0, 93815.5)	(18.0, 117402.5)	(19.0, 146806.0)	(20.0, 182984.5)	(21.0, 226652.0)	(22.0, 278194.5)	(23.0, 335821.5)	(24.0, 398520.5)	(25.0, 466068.5)	(26.0, 537663.5)	(27.0, 612917.0)	(28.0, 693524.5)	(29.0, 782382.5)	(30.0, 875925.5)	(31.0, 962967.0)	(32.0, 1033345.5)	(33.0, 1084631.5)	(34.0, 1122959.5)	(35.0, 1154612.5)	(36.0, 1176664.5)	(37.0, 1182775.5)	(38.0, 1171717.0)	(39.0, 1146634.5)	(40.0, 1109101.0)	(41.0, 1064097.5)	(42.0, 1015161.5)	(43.0, 959548.5)	(44.0, 899141.5)	(45.0, 836162.5)	(46.0, 771038.0)	(47.0, 704826.0)	(48.0, 638024.5)	(49.0, 572323.0)	(50.0, 508860.5)	(51.0, 446363.5)	(52.0, 387220.5)	(53.0, 335545.5)	(54.0, 288612.0)	(55.0, 245429.0)	(56.0, 207529.5)	(57.0, 173835.0)	(58.0, 143827.5)	(59.0, 117786.5)	(60.0, 97340.0)	(61.0, 80378.0)	(62.0, 65297.5)	(63.0, 52102.5)	(64.0, 40571.5)	(65.0, 31368.5)	(66.0, 24282.0)	(67.0, 18905.0)	(68.0, 14549.0)	(69.0, 11135.5)	(70.0, 8782.5)	(71.0, 6998.5)	(72.0, 5566.5)	(73.0, 4695.0)	(74.0, 3952.0)	(75.0, 3099.5)	(76.0, 2381.5)	(77.0, 1779.5)	(78.0, 1294.5)	(79.0, 944.5)	(80.0, 659.5)	(81.0, 435.0)	(82.0, 306.5)	(83.0, 196.0)	(84.0, 153.0)	(85.0, 128.5)	(86.0, 76.0)	(87.0, 42.5)	(88.0, 21.5)	(89.0, 9.0)	(90.0, 2.5)	(91.0, 1.5)	(92.0, 0.5)	(93.0, 0.0)	(94.0, 0.5)	(95.0, 0.5)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR18681858_1	(0.0, 476.0)	(1.0, 493.5)	(2.0, 654.0)	(3.0, 1029.5)	(4.0, 1593.0)	(5.0, 2447.0)	(6.0, 3721.5)	(7.0, 5561.0)	(8.0, 8106.0)	(9.0, 11431.5)	(10.0, 15720.0)	(11.0, 21185.5)	(12.0, 27948.0)	(13.0, 36427.5)	(14.0, 47090.5)	(15.0, 60446.5)	(16.0, 76919.5)	(17.0, 96259.5)	(18.0, 119928.0)	(19.0, 149755.5)	(20.0, 186016.5)	(21.0, 229710.5)	(22.0, 282102.5)	(23.0, 340178.0)	(24.0, 401688.0)	(25.0, 467633.5)	(26.0, 538119.5)	(27.0, 613475.0)	(28.0, 694738.0)	(29.0, 782091.5)	(30.0, 873521.5)	(31.0, 959669.5)	(32.0, 1030137.0)	(33.0, 1080185.0)	(34.0, 1116272.5)	(35.0, 1147135.5)	(36.0, 1169341.5)	(37.0, 1177218.0)	(38.0, 1166751.5)	(39.0, 1140349.5)	(40.0, 1102849.0)	(41.0, 1057733.0)	(42.0, 1007289.5)	(43.0, 952413.0)	(44.0, 893073.5)	(45.0, 830403.0)	(46.0, 766395.5)	(47.0, 700425.0)	(48.0, 634221.5)	(49.0, 569898.0)	(50.0, 506283.0)	(51.0, 443867.5)	(52.0, 385915.5)	(53.0, 334299.5)	(54.0, 287985.0)	(55.0, 245204.0)	(56.0, 206463.5)	(57.0, 172624.5)	(58.0, 143430.5)	(59.0, 118621.0)	(60.0, 99003.0)	(61.0, 83168.0)	(62.0, 69021.0)	(63.0, 55624.0)	(64.0, 43214.5)	(65.0, 33329.0)	(66.0, 26051.0)	(67.0, 20913.0)	(68.0, 16543.5)	(69.0, 12906.5)	(70.0, 10501.5)	(71.0, 8329.5)	(72.0, 6568.5)	(73.0, 5822.5)	(74.0, 5215.0)	(75.0, 4200.5)	(76.0, 3135.5)	(77.0, 2283.0)	(78.0, 1779.0)	(79.0, 1424.5)	(80.0, 1033.0)	(81.0, 707.0)	(82.0, 471.0)	(83.0, 257.5)	(84.0, 208.5)	(85.0, 182.5)	(86.0, 99.5)	(87.0, 64.5)	(88.0, 41.5)	(89.0, 22.0)	(90.0, 16.5)	(91.0, 19.5)	(92.0, 13.5)	(93.0, 5.0)	(94.0, 0.5)	(95.0, 0.0)	(96.0, 1.5)	(97.0, 2.5)	(98.0, 2.5)	(99.0, 2.5)	(100.0, 3.5)
SRR18681858_2	(0.0, 382.0)	(1.0, 390.0)	(2.0, 523.5)	(3.0, 823.0)	(4.0, 1284.0)	(5.0, 1989.0)	(6.0, 3056.5)	(7.0, 4673.0)	(8.0, 6998.5)	(9.0, 10000.5)	(10.0, 14021.5)	(11.0, 19407.5)	(12.0, 25970.0)	(13.0, 34231.0)	(14.0, 44765.5)	(15.0, 57727.5)	(16.0, 74284.5)	(17.0, 94263.5)	(18.0, 118017.5)	(19.0, 147068.5)	(20.0, 183132.0)	(21.0, 227419.0)	(22.0, 279318.5)	(23.0, 336449.5)	(24.0, 397959.0)	(25.0, 465519.5)	(26.0, 537794.5)	(27.0, 612984.5)	(28.0, 693783.0)	(29.0, 781833.5)	(30.0, 872872.5)	(31.0, 959249.0)	(32.0, 1030835.0)	(33.0, 1082178.0)	(34.0, 1119473.0)	(35.0, 1151112.5)	(36.0, 1173134.0)	(37.0, 1179101.5)	(38.0, 1168518.0)	(39.0, 1142946.5)	(40.0, 1105408.5)	(41.0, 1060102.5)	(42.0, 1009716.0)	(43.0, 953284.5)	(44.0, 894214.5)	(45.0, 833091.0)	(46.0, 769126.0)	(47.0, 702966.5)	(48.0, 635861.5)	(49.0, 570853.5)	(50.0, 507433.0)	(51.0, 445939.0)	(52.0, 387683.5)	(53.0, 334770.0)	(54.0, 287913.5)	(55.0, 244925.0)	(56.0, 206030.0)	(57.0, 173045.5)	(58.0, 143901.5)	(59.0, 118524.0)	(60.0, 98717.5)	(61.0, 82871.0)	(62.0, 68922.0)	(63.0, 55782.0)	(64.0, 43785.0)	(65.0, 33713.0)	(66.0, 26146.0)	(67.0, 20876.0)	(68.0, 16727.5)	(69.0, 13255.0)	(70.0, 10578.0)	(71.0, 8459.0)	(72.0, 6810.0)	(73.0, 5914.0)	(74.0, 5244.5)	(75.0, 4348.0)	(76.0, 3355.0)	(77.0, 2497.5)	(78.0, 1909.0)	(79.0, 1454.0)	(80.0, 1051.0)	(81.0, 760.0)	(82.0, 550.0)	(83.0, 333.5)	(84.0, 250.0)	(85.0, 211.5)	(86.0, 128.0)	(87.0, 75.0)	(88.0, 34.5)	(89.0, 16.0)	(90.0, 7.5)	(91.0, 2.5)	(92.0, 1.5)	(93.0, 1.0)	(94.0, 0.5)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR18681859_1	(0.0, 517.0)	(1.0, 505.0)	(2.0, 624.5)	(3.0, 994.5)	(4.0, 1570.0)	(5.0, 2401.5)	(6.0, 3604.0)	(7.0, 5338.0)	(8.0, 7808.0)	(9.0, 11126.5)	(10.0, 15337.5)	(11.0, 20799.5)	(12.0, 27636.0)	(13.0, 35906.0)	(14.0, 46407.0)	(15.0, 59597.5)	(16.0, 75730.0)	(17.0, 95139.5)	(18.0, 118606.0)	(19.0, 147514.0)	(20.0, 183710.0)	(21.0, 227930.0)	(22.0, 279071.5)	(23.0, 336882.5)	(24.0, 398820.5)	(25.0, 465207.0)	(26.0, 536994.5)	(27.0, 613340.0)	(28.0, 695925.5)	(29.0, 785442.0)	(30.0, 876551.5)	(31.0, 963048.5)	(32.0, 1035096.0)	(33.0, 1086921.5)	(34.0, 1124982.0)	(35.0, 1154243.5)	(36.0, 1176651.0)	(37.0, 1184659.5)	(38.0, 1172500.0)	(39.0, 1146243.0)	(40.0, 1108662.0)	(41.0, 1061628.5)	(42.0, 1010420.0)	(43.0, 954450.0)	(44.0, 893428.5)	(45.0, 831310.5)	(46.0, 766925.0)	(47.0, 699529.0)	(48.0, 632847.0)	(49.0, 567315.5)	(50.0, 502694.5)	(51.0, 441399.0)	(52.0, 384456.0)	(53.0, 333411.5)	(54.0, 287257.0)	(55.0, 244468.5)	(56.0, 206428.5)	(57.0, 173474.0)	(58.0, 144513.0)	(59.0, 119007.5)	(60.0, 99717.0)	(61.0, 84389.0)	(62.0, 69793.0)	(63.0, 55839.5)	(64.0, 43405.0)	(65.0, 33389.5)	(66.0, 25849.0)	(67.0, 20988.5)	(68.0, 16667.5)	(69.0, 12910.0)	(70.0, 10449.5)	(71.0, 8237.0)	(72.0, 6626.5)	(73.0, 5880.0)	(74.0, 5207.5)	(75.0, 4138.5)	(76.0, 3068.5)	(77.0, 2264.0)	(78.0, 1684.5)	(79.0, 1306.0)	(80.0, 983.0)	(81.0, 683.0)	(82.0, 470.0)	(83.0, 250.0)	(84.0, 178.5)	(85.0, 164.5)	(86.0, 89.5)	(87.0, 49.5)	(88.0, 27.0)	(89.0, 14.0)	(90.0, 8.0)	(91.0, 6.5)	(92.0, 5.0)	(93.0, 3.0)	(94.0, 2.0)	(95.0, 0.5)	(96.0, 0.0)	(97.0, 0.5)	(98.0, 1.0)	(99.0, 0.5)	(100.0, 0.0)
SRR18681859_2	(0.0, 517.0)	(1.0, 459.5)	(2.0, 505.0)	(3.0, 775.5)	(4.0, 1193.5)	(5.0, 1869.5)	(6.0, 2922.0)	(7.0, 4481.0)	(8.0, 6721.5)	(9.0, 9759.0)	(10.0, 13668.5)	(11.0, 18858.5)	(12.0, 25613.5)	(13.0, 33854.5)	(14.0, 44290.5)	(15.0, 57377.0)	(16.0, 73466.5)	(17.0, 93102.5)	(18.0, 116365.5)	(19.0, 145524.0)	(20.0, 181909.0)	(21.0, 225489.5)	(22.0, 277511.5)	(23.0, 335146.5)	(24.0, 397378.0)	(25.0, 465233.0)	(26.0, 537254.5)	(27.0, 614534.0)	(28.0, 697076.0)	(29.0, 785869.0)	(30.0, 878723.5)	(31.0, 966434.5)	(32.0, 1038291.0)	(33.0, 1089410.5)	(34.0, 1127453.0)	(35.0, 1158738.5)	(36.0, 1180415.5)	(37.0, 1187181.0)	(38.0, 1174552.0)	(39.0, 1147136.5)	(40.0, 1108710.5)	(41.0, 1061348.0)	(42.0, 1011438.0)	(43.0, 955284.5)	(44.0, 894190.0)	(45.0, 831678.5)	(46.0, 766164.0)	(47.0, 698925.5)	(48.0, 632327.0)	(49.0, 567186.5)	(50.0, 503108.5)	(51.0, 441653.0)	(52.0, 384264.0)	(53.0, 332999.0)	(54.0, 286729.5)	(55.0, 243947.0)	(56.0, 205956.5)	(57.0, 173272.0)	(58.0, 144253.5)	(59.0, 119442.5)	(60.0, 99868.0)	(61.0, 84137.0)	(62.0, 70078.0)	(63.0, 56325.5)	(64.0, 44159.0)	(65.0, 34028.5)	(66.0, 26286.0)	(67.0, 21175.0)	(68.0, 16834.5)	(69.0, 13145.0)	(70.0, 10645.5)	(71.0, 8570.0)	(72.0, 6946.5)	(73.0, 6068.5)	(74.0, 5197.5)	(75.0, 4192.0)	(76.0, 3262.5)	(77.0, 2431.5)	(78.0, 1867.0)	(79.0, 1417.0)	(80.0, 991.0)	(81.0, 704.5)	(82.0, 517.5)	(83.0, 308.0)	(84.0, 231.5)	(85.0, 192.0)	(86.0, 111.5)	(87.0, 69.0)	(88.0, 36.0)	(89.0, 12.5)	(90.0, 4.5)	(91.0, 0.5)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.5)	(95.0, 0.5)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
