Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
SRR18681855_1	(25.0, 11.0)	(26.0, 1601.0)	(27.0, 29169.0)	(28.0, 145265.0)	(29.0, 307803.0)	(30.0, 429939.0)	(31.0, 585617.0)	(32.0, 839467.0)	(33.0, 1301512.0)	(34.0, 2316648.0)	(35.0, 5161753.0)	(36.0, 12108196.0)	(37.0, 4608017.0)		
SRR18681855_2	(24.0, 1.0)	(25.0, 216.0)	(26.0, 9999.0)	(27.0, 95852.0)	(28.0, 348314.0)	(29.0, 595472.0)	(30.0, 777808.0)	(31.0, 1017579.0)	(32.0, 1377087.0)	(33.0, 1956051.0)	(34.0, 2987593.0)	(35.0, 5110525.0)	(36.0, 9210761.0)	(37.0, 4347740.0)	
SRR18681856_1	(25.0, 14.0)	(26.0, 1803.0)	(27.0, 33846.0)	(28.0, 159381.0)	(29.0, 322678.0)	(30.0, 443591.0)	(31.0, 590997.0)	(32.0, 826015.0)	(33.0, 1245809.0)	(34.0, 2156791.0)	(35.0, 4785697.0)	(36.0, 12155655.0)	(37.0, 5112610.0)		
SRR18681856_2	(24.0, 1.0)	(25.0, 214.0)	(26.0, 8511.0)	(27.0, 80298.0)	(28.0, 290811.0)	(29.0, 508762.0)	(30.0, 670799.0)	(31.0, 882829.0)	(32.0, 1205970.0)	(33.0, 1739801.0)	(34.0, 2720909.0)	(35.0, 4879240.0)	(36.0, 9662231.0)	(37.0, 5184511.0)	
SRR18681857_1	(25.0, 40.0)	(26.0, 2258.0)	(27.0, 30337.0)	(28.0, 167526.0)	(29.0, 414570.0)	(30.0, 627791.0)	(31.0, 877453.0)	(32.0, 1241099.0)	(33.0, 1805578.0)	(34.0, 2787388.0)	(35.0, 4982724.0)	(36.0, 10545900.0)	(37.0, 4501264.0)		
SRR18681857_2	(24.0, 20.0)	(25.0, 1105.0)	(26.0, 18070.0)	(27.0, 102580.0)	(28.0, 345459.0)	(29.0, 655010.0)	(30.0, 877919.0)	(31.0, 1125642.0)	(32.0, 1477530.0)	(33.0, 2005432.0)	(34.0, 2896141.0)	(35.0, 4703667.0)	(36.0, 8989681.0)	(37.0, 4785672.0)	
SRR18681858_1	(25.0, 38.0)	(26.0, 2145.0)	(27.0, 30156.0)	(28.0, 165368.0)	(29.0, 402234.0)	(30.0, 599074.0)	(31.0, 828222.0)	(32.0, 1152763.0)	(33.0, 1662680.0)	(34.0, 2545681.0)	(35.0, 4546972.0)	(36.0, 10515936.0)	(37.0, 5503606.0)		
SRR18681858_2	(24.0, 5.0)	(25.0, 776.0)	(26.0, 13050.0)	(27.0, 73627.0)	(28.0, 258489.0)	(29.0, 515048.0)	(30.0, 707888.0)	(31.0, 928805.0)	(32.0, 1246589.0)	(33.0, 1734595.0)	(34.0, 2587773.0)	(35.0, 4431262.0)	(36.0, 9511014.0)	(37.0, 5945954.0)	
SRR18681859_1	(25.0, 27.0)	(26.0, 1911.0)	(27.0, 26273.0)	(28.0, 149820.0)	(29.0, 374367.0)	(30.0, 561975.0)	(31.0, 776903.0)	(32.0, 1091163.0)	(33.0, 1575739.0)	(34.0, 2437216.0)	(35.0, 4393943.0)	(36.0, 10551972.0)	(37.0, 6058186.0)		
SRR18681859_2	(24.0, 8.0)	(25.0, 694.0)	(26.0, 11354.0)	(27.0, 67620.0)	(28.0, 248632.0)	(29.0, 502009.0)	(30.0, 690861.0)	(31.0, 902590.0)	(32.0, 1210827.0)	(33.0, 1686544.0)	(34.0, 2523873.0)	(35.0, 4350498.0)	(36.0, 9572657.0)	(37.0, 6231327.0)	(38.0, 1.0)
SRR18681860_1	(25.0, 13.0)	(26.0, 1565.0)	(27.0, 29836.0)	(28.0, 150975.0)	(29.0, 323306.0)	(30.0, 454774.0)	(31.0, 623069.0)	(32.0, 898205.0)	(33.0, 1409275.0)	(34.0, 2525855.0)	(35.0, 5585515.0)	(36.0, 11954028.0)	(37.0, 3878430.0)		
SRR18681860_2	(24.0, 2.0)	(25.0, 262.0)	(26.0, 10269.0)	(27.0, 97633.0)	(28.0, 349483.0)	(29.0, 596504.0)	(30.0, 777377.0)	(31.0, 1018861.0)	(32.0, 1380212.0)	(33.0, 1964330.0)	(34.0, 3000272.0)	(35.0, 5132297.0)	(36.0, 9220253.0)	(37.0, 4287091.0)	
SRR18681861_1	(25.0, 16.0)	(26.0, 1775.0)	(27.0, 32498.0)	(28.0, 159050.0)	(29.0, 330239.0)	(30.0, 454311.0)	(31.0, 608488.0)	(32.0, 852346.0)	(33.0, 1298796.0)	(34.0, 2261257.0)	(35.0, 4965073.0)	(36.0, 11950876.0)	(37.0, 4918379.0)		
SRR18681861_2	(25.0, 196.0)	(26.0, 8836.0)	(27.0, 84312.0)	(28.0, 309712.0)	(29.0, 537707.0)	(30.0, 707300.0)	(31.0, 928389.0)	(32.0, 1264104.0)	(33.0, 1810949.0)	(34.0, 2804058.0)	(35.0, 4925646.0)	(36.0, 9439713.0)	(37.0, 5012182.0)		
SRR18681862_1	(25.0, 14.0)	(26.0, 1737.0)	(27.0, 31806.0)	(28.0, 152570.0)	(29.0, 314331.0)	(30.0, 435790.0)	(31.0, 586229.0)	(32.0, 832478.0)	(33.0, 1277086.0)	(34.0, 2250533.0)	(35.0, 5010709.0)	(36.0, 12060858.0)	(37.0, 4876510.0)		
SRR18681862_2	(24.0, 1.0)	(25.0, 197.0)	(26.0, 9417.0)	(27.0, 88778.0)	(28.0, 321226.0)	(29.0, 554345.0)	(30.0, 726228.0)	(31.0, 953220.0)	(32.0, 1297582.0)	(33.0, 1862014.0)	(34.0, 2869074.0)	(35.0, 5007715.0)	(36.0, 9380721.0)	(37.0, 4760133.0)	
SRR18681863_1	(25.0, 8.0)	(26.0, 1595.0)	(27.0, 31055.0)	(28.0, 150622.0)	(29.0, 314553.0)	(30.0, 443093.0)	(31.0, 614628.0)	(32.0, 901976.0)	(33.0, 1443323.0)	(34.0, 2627980.0)	(35.0, 5688586.0)	(36.0, 11618482.0)	(37.0, 4006077.0)		
SRR18681863_2	(24.0, 1.0)	(25.0, 308.0)	(26.0, 12829.0)	(27.0, 125605.0)	(28.0, 433284.0)	(29.0, 717126.0)	(30.0, 926365.0)	(31.0, 1197374.0)	(32.0, 1595573.0)	(33.0, 2216636.0)	(34.0, 3257922.0)	(35.0, 5252106.0)	(36.0, 8435847.0)	(37.0, 3671002.0)	
SRR18681864_1	(25.0, 7.0)	(26.0, 1348.0)	(27.0, 28689.0)	(28.0, 163484.0)	(29.0, 366029.0)	(30.0, 536650.0)	(31.0, 770762.0)	(32.0, 1173194.0)	(33.0, 1928822.0)	(34.0, 3521618.0)	(35.0, 7028517.0)	(36.0, 10144845.0)	(37.0, 2174247.0)		
SRR18681864_2	(25.0, 386.0)	(26.0, 16567.0)	(27.0, 145133.0)	(28.0, 459518.0)	(29.0, 737277.0)	(30.0, 938633.0)	(31.0, 1202840.0)	(32.0, 1584267.0)	(33.0, 2174612.0)	(34.0, 3172298.0)	(35.0, 5107911.0)	(36.0, 8546482.0)	(37.0, 3752288.0)		
