Sample	Unique Reads	Duplicate Reads
SRR18681855_1	26339809.0	1495189.0
SRR18681855_2	26358940.0	1476058.0
SRR18681856_1	26378595.0	1456292.0
SRR18681856_2	26359799.0	1475088.0
SRR18681857_1	26588042.0	1395886.0
SRR18681857_2	26566452.0	1417476.0
SRR18681858_1	26544538.0	1410337.0
SRR18681858_2	26504973.0	1449902.0
SRR18681859_1	26602169.0	1397326.0
SRR18681859_2	26581345.0	1418150.0
SRR18681860_1	26373632.0	1461214.0
SRR18681860_2	26375582.0	1459264.0
SRR18681861_1	26324836.0	1508268.0
SRR18681861_2	26323009.0	1510095.0
SRR18681862_1	26353523.0	1477128.0
SRR18681862_2	26364659.0	1465992.0
SRR18681863_1	26328610.0	1513368.0
SRR18681863_2	26358637.0	1483341.0
SRR18681864_1	26403137.0	1435075.0
SRR18681864_2	26403095.0	1435117.0
