Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR18681855_1	(1.0, 92.5604750640247)	(2.0, 2.437900255627504)	(3.0, 0.9344068758780603)	(4.0, 0.6649042314350876)	(5.0, 0.5242269631169684)	(6.0, 0.39513704926588783)	(7.0, 0.3433366665313672)	(8.0, 0.262011375470891)	(9.0, 0.19762124817602114)	('>10', 1.523929813512135)	('>50', 0.12250142832410489)	('>100', 0.02805931828647271)	('>500', 0.005489710350774868)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR18681855_2	(1.0, 92.59221675501598)	(2.0, 2.537054192671826)	(3.0, 0.9976000404864696)	(4.0, 0.6307745287219957)	(5.0, 0.44676395880234265)	(6.0, 0.3639004130605592)	(7.0, 0.3251703468422455)	(8.0, 0.2326816550348248)	(9.0, 0.20877587088336175)	('>10', 1.5100625533630903)	('>50', 0.12490955094920954)	('>100', 0.026371598509317824)	('>500', 0.0)	('>1k', 0.0037185356588588683)	('>5k', 0.0)	('>10k+', 0.0)
SRR18681856_1	(1.0, 92.64832852924827)	(2.0, 2.611231937899471)	(3.0, 0.8963766996283657)	(4.0, 0.6790174512396515)	(5.0, 0.5101794122371113)	(6.0, 0.384078683851552)	(7.0, 0.2777203550559152)	(8.0, 0.22965726778799872)	(9.0, 0.18142043994833879)	('>10', 1.4346644437943672)	('>50', 0.12895626660010842)	('>100', 0.012931577143785705)	('>500', 0.005436935565051599)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR18681856_2	(1.0, 92.57156774366833)	(2.0, 2.631197174011754)	(3.0, 0.9093933970490244)	(4.0, 0.6127108566163619)	(5.0, 0.5172132241370271)	(6.0, 0.38810346603722945)	(7.0, 0.27569523425945436)	(8.0, 0.2468515097694402)	(9.0, 0.19763299494007935)	('>10', 1.5188480318854958)	('>50', 0.10647273642625493)	('>100', 0.020577904448494996)	('>500', 0.0)	('>1k', 0.00373572675101117)	('>5k', 0.0)	('>10k+', 0.0)
SRR18681857_1	(1.0, 93.01664536868529)	(2.0, 2.434027531353814)	(3.0, 0.9194110028245028)	(4.0, 0.607678281258584)	(5.0, 0.4206027756162028)	(6.0, 0.3316414433028104)	(7.0, 0.27669419062912526)	(8.0, 0.23368862385097544)	(9.0, 0.20268949166589298)	('>10', 1.4094765495367538)	('>50', 0.10722600209267844)	('>100', 0.03211376707459523)	('>500', 0.008104972108772084)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR18681857_2	(1.0, 92.88016412418824)	(2.0, 2.5551155571641075)	(3.0, 0.9073762999029801)	(4.0, 0.5845753396707108)	(5.0, 0.45783299601151867)	(6.0, 0.337690014338562)	(7.0, 0.2706359323006106)	(8.0, 0.24582934353648989)	(9.0, 0.1925561375951926)	('>10', 1.3920032901122033)	('>50', 0.1389153940070762)	('>100', 0.03319536195447507)	('>500', 0.0)	('>1k', 0.004110209217838164)	('>5k', 0.0)	('>10k+', 0.0)
SRR18681858_1	(1.0, 92.93650223907075)	(2.0, 2.510009184599055)	(3.0, 0.866245239987159)	(4.0, 0.5614586786399813)	(5.0, 0.457821087998211)	(6.0, 0.37699356416664404)	(7.0, 0.2595212518093302)	(8.0, 0.2579627433946565)	(9.0, 0.1803903676765702)	('>10', 1.4119133207325016)	('>50', 0.13854411622883447)	('>100', 0.03452787938789813)	('>500', 0.008110326308447624)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR18681858_2	(1.0, 92.73757314872391)	(2.0, 2.5890168131501214)	(3.0, 0.8862794128130199)	(4.0, 0.5785226483508896)	(5.0, 0.4638502823120169)	(6.0, 0.3457399535189508)	(7.0, 0.30293871927695887)	(8.0, 0.23064603340416248)	(9.0, 0.21585787187897498)	('>10', 1.4756078190634931)	('>50', 0.13430217895836716)	('>100', 0.03536731220084021)	('>500', 0.0)	('>1k', 0.004297806348263915)	('>5k', 0.0)	('>10k+', 0.0)
SRR18681859_1	(1.0, 92.99963073726273)	(2.0, 2.4490608081077134)	(3.0, 0.8993643139529618)	(4.0, 0.6167209799562716)	(5.0, 0.49103997804314525)	(6.0, 0.3497862367590842)	(7.0, 0.2888118593514525)	(8.0, 0.23065300551174042)	(9.0, 0.18545996648383845)	('>10', 1.3239948215876196)	('>50', 0.13042042074189442)	('>100', 0.03131552931440219)	('>500', 0.0)	('>1k', 0.0037413429271295324)	('>5k', 0.0)	('>10k+', 0.0)
SRR18681859_2	(1.0, 92.89111856159789)	(2.0, 2.5320899362786466)	(3.0, 0.8732828291157633)	(4.0, 0.6287656285367648)	(5.0, 0.45380390568775747)	(6.0, 0.3638946335145577)	(7.0, 0.27063224394092683)	(8.0, 0.23368592404842156)	(9.0, 0.20370045280740912)	('>10', 1.3765443519183904)	('>50', 0.1403085201810547)	('>100', 0.027989630084824565)	('>500', 0.0)	('>1k', 0.004183382287556808)	('>5k', 0.0)	('>10k+', 0.0)
SRR18681860_1	(1.0, 92.67659066351793)	(2.0, 2.5610846843652966)	(3.0, 0.8983446604663964)	(4.0, 0.5875863594876453)	(5.0, 0.44374637351809865)	(6.0, 0.3749894811281469)	(7.0, 0.2888162514451134)	(8.0, 0.2367284363997657)	(9.0, 0.22701842112720383)	('>10', 1.572137468787543)	('>50', 0.1044156933490698)	('>100', 0.020785813337998588)	('>500', 0.007755693069794963)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR18681860_2	(1.0, 92.68850689941381)	(2.0, 2.5420675990012764)	(3.0, 0.9013520706788389)	(4.0, 0.6046613101802475)	(5.0, 0.44877742118713276)	(6.0, 0.3770055317183767)	(7.0, 0.30194428855101735)	(8.0, 0.24886841294761305)	(9.0, 0.1905333883649155)	('>10', 1.5556800435433722)	('>50', 0.1145656363181941)	('>100', 0.022182801722297477)	('>500', 0.0)	('>1k', 0.003854596372949759)	('>5k', 0.0)	('>10k+', 0.0)
SRR18681861_1	(1.0, 92.47448826090105)	(2.0, 2.51787847954172)	(3.0, 0.9784875764691617)	(4.0, 0.6387685319298027)	(5.0, 0.49603662718759844)	(6.0, 0.3699242908902957)	(7.0, 0.3079825526699962)	(8.0, 0.2721181903249521)	(9.0, 0.2219361041289838)	('>10', 1.5351944199201226)	('>50', 0.14941570820367053)	('>100', 0.034462055748724005)	('>500', 0.0033072020839569455)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR18681861_2	(1.0, 92.49088499347789)	(2.0, 2.4798895434397146)	(3.0, 0.9434139660309115)	(4.0, 0.6618800093049562)	(5.0, 0.48296514438643334)	(6.0, 0.3890828492300415)	(7.0, 0.31000801293894825)	(8.0, 0.2579609782068118)	(9.0, 0.21586004269051312)	('>10', 1.6017767002268035)	('>50', 0.14423081524511455)	('>100', 0.018394811712837123)	('>500', 0.003652133109003228)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR18681862_1	(1.0, 92.60936826421911)	(2.0, 2.5730605466762246)	(3.0, 0.873268359744683)	(4.0, 0.6167073322153814)	(5.0, 0.4608471639036692)	(6.0, 0.3669214109345427)	(7.0, 0.29386266979546094)	(8.0, 0.25392440404658284)	(9.0, 0.20472029982993578)	('>10', 1.610360859985283)	('>50', 0.1103029515087187)	('>100', 0.023337660842815668)	('>500', 0.0033180762975974247)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR18681862_2	(1.0, 92.65360391764497)	(2.0, 2.562061722217209)	(3.0, 0.8582333979201945)	(4.0, 0.6367991234993537)	(5.0, 0.4799684162833096)	(6.0, 0.39313299894243126)	(7.0, 0.279727266745486)	(8.0, 0.22863522508850787)	(9.0, 0.21283017201986992)	('>10', 1.5337824448251125)	('>50', 0.1325576428661638)	('>100', 0.024692454778733598)	('>500', 0.0)	('>1k', 0.003975217168631622)	('>5k', 0.0)	('>10k+', 0.0)
SRR18681863_1	(1.0, 92.48922238481602)	(2.0, 2.474918142809125)	(3.0, 0.942422490846345)	(4.0, 0.6317554971642875)	(5.0, 0.4739138678785973)	(6.0, 0.36993398520445847)	(7.0, 0.302941386251117)	(8.0, 0.25290422205092006)	(9.0, 0.22700861392128008)	('>10', 1.6830448917332541)	('>50', 0.12767482711899392)	('>100', 0.0185839631804954)	('>500', 0.00567572702513334)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR18681863_2	(1.0, 92.58928822745696)	(2.0, 2.5060288021735726)	(3.0, 0.9364397472278071)	(4.0, 0.6679367938388238)	(5.0, 0.46789344915357833)	(6.0, 0.36490717455247407)	(7.0, 0.2938638544407764)	(8.0, 0.25291353426587926)	(9.0, 0.22600358867015313)	('>10', 1.5635765913655169)	('>50', 0.10854190196041921)	('>100', 0.018628057378501855)	('>500', 0.0)	('>1k', 0.003978277515502958)	('>5k', 0.0)	('>10k+', 0.0)
SRR18681864_1	(1.0, 92.84862577886095)	(2.0, 2.4200008803289736)	(3.0, 0.8752955967082849)	(4.0, 0.5946247877234544)	(5.0, 0.45884550136259467)	(6.0, 0.384066540995928)	(7.0, 0.28074089969124316)	(8.0, 0.2205445388723868)	(9.0, 0.21384579914743726)	('>10', 1.5675089608323411)	('>50', 0.10518106673984644)	('>100', 0.027318464390079768)	('>500', 0.003401184346501892)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
