Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR18681855_1	5.371615852078719	37.0	150.0	150	0.0	27.834998
SRR18681855_2	5.302887951096352	37.0	150.0	150	0.0	27.834998
SRR18681856_1	5.231898041523223	37.0	150.0	150	0.0	27.834887
SRR18681856_2	5.299422642549985	37.0	150.0	150	0.0	27.834887
SRR18681857_1	4.988171676569721	37.0	150.0	150	0.0	27.983928
SRR18681857_2	5.065325094144271	37.0	150.0	150	0.0	27.983928
SRR18681858_1	5.045049353970228	37.0	150.0	150	0.0	27.954874999999998
SRR18681858_2	5.186583148995169	37.0	150.0	150	0.0	27.954874999999998
SRR18681859_1	4.9905420689580495	37.0	150.0	150	0.0	27.999495
SRR18681859_2	5.064913413433445	37.0	150.0	150	0.0	27.999495
SRR18681860_1	5.249588011727155	37.0	150.0	150	0.0	27.834846
SRR18681860_2	5.242582035459591	37.0	150.0	150	0.0	27.834846
SRR18681861_1	5.418974759219793	37.0	150.0	150	0.0	27.833104
SRR18681861_2	5.425537424858547	37.0	150.0	150	0.0	27.833104
SRR18681862_1	5.307561154624835	37.0	150.0	150	0.0	27.830651
SRR18681862_2	5.267546894211932	37.0	150.0	150	0.0	27.830651
SRR18681863_1	5.435562889866077	37.0	150.0	150	0.0	27.841977999999997
SRR18681863_2	5.327715625894754	37.0	150.0	150	0.0	27.841977999999997
SRR18681864_1	5.15505610224578	37.0	150.0	150	0.0	27.838212
SRR18681864_2	5.155205954741049	37.0	150.0	150	0.0	27.838212
