Module	Section	Sample Name	Source
FastQC	all_sections	SRR18681855_1	/Users/jennyfzhao/Work/task/2026-06-15_dnaseq/results/fastqc/raw/SRR18681855_1_fastqc.zip
FastQC	all_sections	SRR18681855_2	/Users/jennyfzhao/Work/task/2026-06-15_dnaseq/results/fastqc/raw/SRR18681855_2_fastqc.zip
FastQC	all_sections	SRR18681856_1	/Users/jennyfzhao/Work/task/2026-06-15_dnaseq/results/fastqc/raw/SRR18681856_1_fastqc.zip
FastQC	all_sections	SRR18681856_2	/Users/jennyfzhao/Work/task/2026-06-15_dnaseq/results/fastqc/raw/SRR18681856_2_fastqc.zip
FastQC	all_sections	SRR18681857_1	/Users/jennyfzhao/Work/task/2026-06-15_dnaseq/results/fastqc/raw/SRR18681857_1_fastqc.zip
FastQC	all_sections	SRR18681857_2	/Users/jennyfzhao/Work/task/2026-06-15_dnaseq/results/fastqc/raw/SRR18681857_2_fastqc.zip
FastQC	all_sections	SRR18681858_1	/Users/jennyfzhao/Work/task/2026-06-15_dnaseq/results/fastqc/raw/SRR18681858_1_fastqc.zip
FastQC	all_sections	SRR18681858_2	/Users/jennyfzhao/Work/task/2026-06-15_dnaseq/results/fastqc/raw/SRR18681858_2_fastqc.zip
FastQC	all_sections	SRR18681859_1	/Users/jennyfzhao/Work/task/2026-06-15_dnaseq/results/fastqc/raw/SRR18681859_1_fastqc.zip
FastQC	all_sections	SRR18681859_2	/Users/jennyfzhao/Work/task/2026-06-15_dnaseq/results/fastqc/raw/SRR18681859_2_fastqc.zip
FastQC	all_sections	SRR18681860_1	/Users/jennyfzhao/Work/task/2026-06-15_dnaseq/results/fastqc/raw/SRR18681860_1_fastqc.zip
FastQC	all_sections	SRR18681860_2	/Users/jennyfzhao/Work/task/2026-06-15_dnaseq/results/fastqc/raw/SRR18681860_2_fastqc.zip
FastQC	all_sections	SRR18681861_1	/Users/jennyfzhao/Work/task/2026-06-15_dnaseq/results/fastqc/raw/SRR18681861_1_fastqc.zip
FastQC	all_sections	SRR18681861_2	/Users/jennyfzhao/Work/task/2026-06-15_dnaseq/results/fastqc/raw/SRR18681861_2_fastqc.zip
FastQC	all_sections	SRR18681862_1	/Users/jennyfzhao/Work/task/2026-06-15_dnaseq/results/fastqc/raw/SRR18681862_1_fastqc.zip
FastQC	all_sections	SRR18681862_2	/Users/jennyfzhao/Work/task/2026-06-15_dnaseq/results/fastqc/raw/SRR18681862_2_fastqc.zip
FastQC	all_sections	SRR18681863_1	/Users/jennyfzhao/Work/task/2026-06-15_dnaseq/results/fastqc/raw/SRR18681863_1_fastqc.zip
FastQC	all_sections	SRR18681863_2	/Users/jennyfzhao/Work/task/2026-06-15_dnaseq/results/fastqc/raw/SRR18681863_2_fastqc.zip
FastQC	all_sections	SRR18681864_1	/Users/jennyfzhao/Work/task/2026-06-15_dnaseq/results/fastqc/raw/SRR18681864_1_fastqc.zip
FastQC	all_sections	SRR18681864_2	/Users/jennyfzhao/Work/task/2026-06-15_dnaseq/results/fastqc/raw/SRR18681864_2_fastqc.zip
