#Insert size (bp)	insert size
123.0	1.0
124.0	1.0
125.0	1.0
126.0	1.0
127.0	8.0
128.0	8.0
129.0	12.0
130.0	19.0
131.0	26.0
132.0	34.0
133.0	41.0
134.0	43.0
135.0	63.0
136.0	59.0
137.0	80.0
138.0	101.0
139.0	142.0
140.0	176.0
141.0	233.0
142.0	261.0
143.0	318.0
144.0	404.0
145.0	470.0
146.0	605.0
147.0	766.0
148.0	1057.0
149.0	1426.0
150.0	10428.0
151.0	15007.0
152.0	15749.0
153.0	16122.0
154.0	15310.0
155.0	13771.0
156.0	12544.0
157.0	12509.0
158.0	12426.0
159.0	12568.0
160.0	13149.0
161.0	13019.0
162.0	13541.0
163.0	13804.0
164.0	13763.0
165.0	14109.0
166.0	14387.0
167.0	14460.0
168.0	14620.0
169.0	15225.0
170.0	15573.0
171.0	15742.0
172.0	16371.0
173.0	16650.0
174.0	16946.0
175.0	17217.0
176.0	17478.0
177.0	17789.0
178.0	17968.0
179.0	18259.0
180.0	18716.0
181.0	19583.0
182.0	19909.0
183.0	20453.0
184.0	20649.0
185.0	20950.0
186.0	21354.0
187.0	21475.0
188.0	21805.0
189.0	22677.0
190.0	22563.0
191.0	23389.0
192.0	23549.0
193.0	24029.0
194.0	24550.0
195.0	24565.0
196.0	25079.0
197.0	25277.0
198.0	25811.0
199.0	25916.0
200.0	26565.0
201.0	26943.0
202.0	27459.0
203.0	28204.0
204.0	28707.0
205.0	29149.0
206.0	28921.0
207.0	29473.0
208.0	29621.0
209.0	30214.0
210.0	30767.0
211.0	31788.0
212.0	32295.0
213.0	33594.0
214.0	34292.0
215.0	34917.0
216.0	35226.0
217.0	35873.0
218.0	36537.0
219.0	36583.0
220.0	37256.0
221.0	38241.0
222.0	39643.0
223.0	40640.0
224.0	41858.0
225.0	42442.0
226.0	43395.0
227.0	43770.0
228.0	44565.0
229.0	45226.0
230.0	45685.0
231.0	46148.0
232.0	46186.0
233.0	47579.0
234.0	48744.0
235.0	49326.0
236.0	49511.0
237.0	50234.0
238.0	50416.0
239.0	50779.0
240.0	51160.0
241.0	51092.0
242.0	51811.0
243.0	51967.0
244.0	52997.0
245.0	53730.0
246.0	54334.0
247.0	54497.0
248.0	54933.0
249.0	55328.0
250.0	55504.0
251.0	56547.0
252.0	56492.0
253.0	56804.0
254.0	57484.0
255.0	58494.0
256.0	58961.0
257.0	60357.0
258.0	60582.0
259.0	61263.0
260.0	61387.0
261.0	62630.0
262.0	63083.0
263.0	63291.0
264.0	64709.0
265.0	65078.0
266.0	66276.0
267.0	67351.0
268.0	68708.0
269.0	69492.0
270.0	70085.0
271.0	70536.0
272.0	71734.0
273.0	72306.0
274.0	72909.0
275.0	74556.0
276.0	76120.0
277.0	76545.0
