#Duplication rate	Coverage
1.0	4.6173045E7
2.0	1700845.0
3.0	184716.0
4.0	74026.0
5.0	41992.0
6.0	26757.0
7.0	18558.0
8.0	13371.0
9.0	9915.0
10.0	7848.0
11.0	6056.0
12.0	4848.0
13.0	3830.0
14.0	3174.0
15.0	2445.0
16.0	2132.0
17.0	1709.0
18.0	1470.0
19.0	1194.0
20.0	1021.0
21.0	868.0
22.0	777.0
23.0	661.0
24.0	522.0
25.0	455.0
26.0	415.0
27.0	379.0
28.0	270.0
29.0	276.0
30.0	231.0
31.0	204.0
32.0	178.0
33.0	187.0
34.0	145.0
35.0	129.0
36.0	137.0
37.0	101.0
38.0	85.0
39.0	77.0
40.0	86.0
41.0	67.0
42.0	62.0
43.0	58.0
44.0	63.0
45.0	49.0
46.0	38.0
47.0	40.0
48.0	41.0
49.0	23.0
50.0	562.0
