#Mapping quality	mapping quality
0.0	1.5520359E7
1.0	1.5074805E7
2.0	1.6448377E7
3.0	1.6450104E7
4.0	1.6941059E7
5.0	1.3640309E7
6.0	3.9974133E7
7.0	1.4612181E7
8.0	1.731885E7
9.0	1.2050733E7
10.0	1.0687203E7
11.0	1.2913045E7
12.0	1.2936404E7
13.0	1.1687812E7
14.0	1.1035728E7
15.0	1.2728054E7
16.0	1.2296097E7
17.0	1.1573126E7
18.0	1.3256429E7
19.0	1.1224402E7
20.0	1.150503E7
21.0	1.5418704E7
22.0	1.5781327E7
23.0	2.796713E7
24.0	2.4353217E7
25.0	1.5478197E7
26.0	1.6645734E7
27.0	1.8284098E7
28.0	2.0635408E7
29.0	2.2368319E7
30.0	2.4042943E7
31.0	2.3785628E7
32.0	3.3071852E7
33.0	3.0750316E7
34.0	3.0561192E7
35.0	3.6055497E7
36.0	3.8660482E7
37.0	4.1699581E7
38.0	4.549111E7
39.0	3.8337021E7
40.0	4.1768391E7
41.0	1.30579979E8
42.0	3.550695E8
