# Assembly name:  ASM1834038v1
# Organism name:  Cyprinus carpio (common carp)
# Isolate:  SPL01
# Taxid:          7962
# BioSample:      SAMN17005855
# BioProject:     PRJNA682709
# Submitter:      Chinese Academy of Fishery Sciences
# Date:           2021-05-12
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAEOAB01
# Assembly method: wtdbg v. 2; quickmerge v. 1
# Expected final version: Yes
# Genome coverage: 184.8x
# Sequencing technology: PacBio; Oxford Nanopore; Illumina HiSeq
# RefSeq category: Reference Genome
# GenBank assembly accession: GCA_018340385.1
# RefSeq assembly accession: GCF_018340385.1
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_018340415.1	GCF_018340415.1	Primary Assembly
## GCA_018340445.1	GCF_000029015.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
A1	assembled-molecule	A1	Chromosome	CM031245.1	=	NC_056572.1	Primary Assembly	39504823	na
A2	assembled-molecule	A2	Chromosome	CM031256.1	=	NC_056573.1	Primary Assembly	28433155	na
A3	assembled-molecule	A3	Chromosome	CM031263.1	=	NC_056574.1	Primary Assembly	39349182	na
A4	assembled-molecule	A4	Chromosome	CM031264.1	=	NC_056575.1	Primary Assembly	36279972	na
A5	assembled-molecule	A5	Chromosome	CM031265.1	=	NC_056576.1	Primary Assembly	39981485	na
A6	assembled-molecule	A6	Chromosome	CM031266.1	=	NC_056577.1	Primary Assembly	34149625	na
A7	assembled-molecule	A7	Chromosome	CM031267.1	=	NC_056578.1	Primary Assembly	47223169	na
A8	assembled-molecule	A8	Chromosome	CM031268.1	=	NC_056579.1	Primary Assembly	27612319	na
A9	assembled-molecule	A9	Chromosome	CM031269.1	=	NC_056580.1	Primary Assembly	32520448	na
A10	assembled-molecule	A10	Chromosome	CM031246.1	=	NC_056581.1	Primary Assembly	20928587	na
A11	assembled-molecule	A11	Chromosome	CM031247.1	=	NC_056582.1	Primary Assembly	26868042	na
A12	assembled-molecule	A12	Chromosome	CM031248.1	=	NC_056583.1	Primary Assembly	27140183	na
A13	assembled-molecule	A13	Chromosome	CM031249.1	=	NC_056584.1	Primary Assembly	30664011	na
A14	assembled-molecule	A14	Chromosome	CM031250.1	=	NC_056585.1	Primary Assembly	30475081	na
A15	assembled-molecule	A15	Chromosome	CM031251.1	=	NC_056586.1	Primary Assembly	29545497	na
A16	assembled-molecule	A16	Chromosome	CM031252.1	=	NC_056587.1	Primary Assembly	23572709	na
A17	assembled-molecule	A17	Chromosome	CM031253.1	=	NC_056588.1	Primary Assembly	28879634	na
A18	assembled-molecule	A18	Chromosome	CM031254.1	=	NC_056589.1	Primary Assembly	30158143	na
A19	assembled-molecule	A19	Chromosome	CM031255.1	=	NC_056590.1	Primary Assembly	24372310	na
A20	assembled-molecule	A20	Chromosome	CM031257.1	=	NC_056591.1	Primary Assembly	27589077	na
A21	assembled-molecule	A21	Chromosome	CM031258.1	=	NC_056592.1	Primary Assembly	25358796	na
A22	assembled-molecule	A22	Chromosome	CM031259.1	=	NC_056593.1	Primary Assembly	22237253	na
A23	assembled-molecule	A23	Chromosome	CM031260.1	=	NC_056594.1	Primary Assembly	25516351	na
A24	assembled-molecule	A24	Chromosome	CM031261.1	=	NC_056595.1	Primary Assembly	25855823	na
A25	assembled-molecule	A25	Chromosome	CM031262.1	=	NC_056596.1	Primary Assembly	21510850	na
B1	assembled-molecule	B1	Chromosome	CM031270.1	=	NC_056597.1	Primary Assembly	40474758	na
B2	assembled-molecule	B2	Chromosome	CM031281.1	=	NC_056598.1	Primary Assembly	32409921	na
B3	assembled-molecule	B3	Chromosome	CM031288.1	=	NC_056599.1	Primary Assembly	48440497	na
B4	assembled-molecule	B4	Chromosome	CM031289.1	=	NC_056600.1	Primary Assembly	37472334	na
B5	assembled-molecule	B5	Chromosome	CM031290.1	=	NC_056601.1	Primary Assembly	38117132	na
B6	assembled-molecule	B6	Chromosome	CM031291.1	=	NC_056602.1	Primary Assembly	30208039	na
B7	assembled-molecule	B7	Chromosome	CM031292.1	=	NC_056603.1	Primary Assembly	47159336	na
